LOT,WAFER,X,Y,HBIN,SBIN
SOC-A7-2025-118,S01,1,-11,1,100
SOC-A7-2025-118,S01,2,-11,1,100
SOC-A7-2025-118,S01,3,-11,1,100
SOC-A7-2025-118,S01,4,-11,1,100
SOC-A7-2025-118,S01,5,-11,1,100
SOC-A7-2025-118,S01,6,-11,1,100
SOC-A7-2025-118,S01,7,-11,1,100
SOC-A7-2025-118,S01,8,-11,1,100
SOC-A7-2025-118,S01,9,-11,2,200
SOC-A7-2025-118,S01,10,-11,1,100
SOC-A7-2025-118,S01,11,-11,2,201
SOC-A7-2025-118,S01,12,-11,1,100
SOC-A7-2025-118,S01,13,-11,1,100
SOC-A7-2025-118,S01,14,-11,6,602
SOC-A7-2025-118,S01,15,-11,6,602
SOC-A7-2025-118,S01,16,-11,1,100
SOC-A7-2025-118,S01,17,-11,1,100
SOC-A7-2025-118,S01,18,-11,1,100
SOC-A7-2025-118,S01,19,-11,1,100
SOC-A7-2025-118,S01,20,-11,1,100
SOC-A7-2025-118,S01,21,-11,3,302
SOC-A7-2025-118,S01,-22,-10,2,201
SOC-A7-2025-118,S01,-21,-10,3,302
SOC-A7-2025-118,S01,-20,-10,10,1001
SOC-A7-2025-118,S01,-19,-10,2,201
SOC-A7-2025-118,S01,-18,-10,11,1101
SOC-A7-2025-118,S01,-17,-10,10,1001
SOC-A7-2025-118,S01,-16,-10,1,100
SOC-A7-2025-118,S01,-15,-10,2,201
SOC-A7-2025-118,S01,-14,-10,2,201
SOC-A7-2025-118,S01,-13,-10,10,1001
SOC-A7-2025-118,S01,-12,-10,2,200
SOC-A7-2025-118,S01,-11,-10,1,100
SOC-A7-2025-118,S01,-10,-10,1,100
SOC-A7-2025-118,S01,-9,-10,7,702
SOC-A7-2025-118,S01,-8,-10,1,100
SOC-A7-2025-118,S01,-7,-10,2,200
SOC-A7-2025-118,S01,-6,-10,1,100
SOC-A7-2025-118,S01,-5,-10,1,100
SOC-A7-2025-118,S01,-4,-10,1,100
SOC-A7-2025-118,S01,-3,-10,1,100
SOC-A7-2025-118,S01,-2,-10,1,100
SOC-A7-2025-118,S01,-1,-10,1,100
SOC-A7-2025-118,S01,0,-10,2,201
SOC-A7-2025-118,S01,1,-10,2,200
SOC-A7-2025-118,S01,2,-10,2,201
SOC-A7-2025-118,S01,3,-10,1,100
SOC-A7-2025-118,S01,4,-10,1,100
SOC-A7-2025-118,S01,5,-10,1,100
SOC-A7-2025-118,S01,6,-10,1,100
SOC-A7-2025-118,S01,7,-10,1,100
SOC-A7-2025-118,S01,8,-10,1,100
SOC-A7-2025-118,S01,9,-10,1,100
SOC-A7-2025-118,S01,10,-10,1,100
SOC-A7-2025-118,S01,11,-10,1,100
SOC-A7-2025-118,S01,12,-10,1,100
SOC-A7-2025-118,S01,13,-10,2,200
SOC-A7-2025-118,S01,14,-10,1,100
SOC-A7-2025-118,S01,15,-10,2,201
SOC-A7-2025-118,S01,16,-10,1,100
SOC-A7-2025-118,S01,17,-10,1,100
SOC-A7-2025-118,S01,18,-10,1,100
SOC-A7-2025-118,S01,19,-10,1,100
SOC-A7-2025-118,S01,20,-10,2,200
SOC-A7-2025-118,S01,21,-10,1,100
SOC-A7-2025-118,S01,22,-10,12,1202
SOC-A7-2025-118,S01,-22,-9,3,301
SOC-A7-2025-118,S01,-21,-9,2,201
SOC-A7-2025-118,S01,-20,-9,10,1002
SOC-A7-2025-118,S01,-19,-9,2,201
SOC-A7-2025-118,S01,-18,-9,1,100
SOC-A7-2025-118,S01,-17,-9,1,100
SOC-A7-2025-118,S01,-16,-9,1,100
SOC-A7-2025-118,S01,-15,-9,2,201
SOC-A7-2025-118,S01,-14,-9,10,1002
SOC-A7-2025-118,S01,-13,-9,2,200
SOC-A7-2025-118,S01,-12,-9,2,201
SOC-A7-2025-118,S01,-11,-9,1,100
SOC-A7-2025-118,S01,-10,-9,1,100
SOC-A7-2025-118,S01,-9,-9,7,701
SOC-A7-2025-118,S01,-8,-9,7,702
SOC-A7-2025-118,S01,-7,-9,2,201
SOC-A7-2025-118,S01,-6,-9,1,100
SOC-A7-2025-118,S01,-5,-9,1,100
SOC-A7-2025-118,S01,-4,-9,1,100
SOC-A7-2025-118,S01,-3,-9,1,100
SOC-A7-2025-118,S01,-2,-9,1,100
SOC-A7-2025-118,S01,-1,-9,1,100
SOC-A7-2025-118,S01,0,-9,2,201
SOC-A7-2025-118,S01,1,-9,2,200
SOC-A7-2025-118,S01,2,-9,1,100
SOC-A7-2025-118,S01,3,-9,1,100
SOC-A7-2025-118,S01,4,-9,1,100
SOC-A7-2025-118,S01,5,-9,2,200
SOC-A7-2025-118,S01,6,-9,1,100
SOC-A7-2025-118,S01,7,-9,1,100
SOC-A7-2025-118,S01,8,-9,2,200
SOC-A7-2025-118,S01,9,-9,1,100
SOC-A7-2025-118,S01,10,-9,1,100
SOC-A7-2025-118,S01,11,-9,1,100
SOC-A7-2025-118,S01,12,-9,1,100
SOC-A7-2025-118,S01,13,-9,2,201
SOC-A7-2025-118,S01,14,-9,1,100
SOC-A7-2025-118,S01,15,-9,1,100
SOC-A7-2025-118,S01,16,-9,2,201
SOC-A7-2025-118,S01,17,-9,1,100
SOC-A7-2025-118,S01,18,-9,1,100
SOC-A7-2025-118,S01,19,-9,1,100
SOC-A7-2025-118,S01,20,-9,1,100
SOC-A7-2025-118,S01,21,-9,3,301
SOC-A7-2025-118,S01,22,-9,3,301
SOC-A7-2025-118,S01,-22,-8,1,100
SOC-A7-2025-118,S01,-21,-8,1,100
SOC-A7-2025-118,S01,-20,-8,12,1201
SOC-A7-2025-118,S01,-19,-8,2,201
SOC-A7-2025-118,S01,-18,-8,10,1001
SOC-A7-2025-118,S01,-17,-8,1,100
SOC-A7-2025-118,S01,-16,-8,1,100
SOC-A7-2025-118,S01,-15,-8,6,602
SOC-A7-2025-118,S01,-14,-8,1,100
SOC-A7-2025-118,S01,-13,-8,2,200
SOC-A7-2025-118,S01,-12,-8,1,100
SOC-A7-2025-118,S01,-11,-8,6,602
SOC-A7-2025-118,S01,-10,-8,1,100
SOC-A7-2025-118,S01,-9,-8,1,100
SOC-A7-2025-118,S01,-8,-8,2,201
SOC-A7-2025-118,S01,-7,-8,7,703
SOC-A7-2025-118,S01,-6,-8,7,702
SOC-A7-2025-118,S01,-5,-8,2,201
SOC-A7-2025-118,S01,-4,-8,2,200
SOC-A7-2025-118,S01,-3,-8,1,100
SOC-A7-2025-118,S01,-2,-8,1,100
SOC-A7-2025-118,S01,-1,-8,2,200
SOC-A7-2025-118,S01,0,-8,1,100
SOC-A7-2025-118,S01,1,-8,2,200
SOC-A7-2025-118,S01,2,-8,2,200
SOC-A7-2025-118,S01,3,-8,2,201
SOC-A7-2025-118,S01,4,-8,1,100
SOC-A7-2025-118,S01,5,-8,1,100
SOC-A7-2025-118,S01,6,-8,1,100
SOC-A7-2025-118,S01,7,-8,1,100
SOC-A7-2025-118,S01,8,-8,1,100
SOC-A7-2025-118,S01,9,-8,1,100
SOC-A7-2025-118,S01,10,-8,1,100
SOC-A7-2025-118,S01,11,-8,1,100
SOC-A7-2025-118,S01,12,-8,1,100
SOC-A7-2025-118,S01,13,-8,2,201
SOC-A7-2025-118,S01,14,-8,1,100
SOC-A7-2025-118,S01,15,-8,6,602
SOC-A7-2025-118,S01,16,-8,1,100
SOC-A7-2025-118,S01,17,-8,1,100
SOC-A7-2025-118,S01,18,-8,1,100
