LOT,WFR,X,Y,HBIN,SBIN,TST_A,TST_B
HVM-0982,W01,-7,-61,1,10,1.0874,1.0020
HVM-0982,W01,-6,-61,1,10,1.0822,0.9736
HVM-0982,W01,-5,-61,2,20,1.1018,0.9892
HVM-0982,W01,-4,-61,1,10,1.0599,0.9316
HVM-0982,W01,-3,-61,1,10,1.0878,0.9897
HVM-0982,W01,-2,-61,1,10,1.1238,0.9506
HVM-0982,W01,-1,-61,1,10,1.1020,0.9284
HVM-0982,W01,0,-61,1,10,1.1140,0.9724
HVM-0982,W01,1,-61,1,10,1.0965,0.9440
HVM-0982,W01,2,-61,1,10,1.1506,0.9440
HVM-0982,W01,3,-61,1,10,1.1457,0.9785
HVM-0982,W01,4,-61,1,10,1.0477,0.9532
HVM-0982,W01,5,-61,4,30,1.1245,0.9664
HVM-0982,W01,6,-61,2,21,1.1191,0.9534
HVM-0982,W01,7,-61,1,10,1.1427,0.9756
HVM-0982,W01,8,-61,1,10,1.1364,0.9954
HVM-0982,W01,9,-61,1,10,1.1342,0.9599
HVM-0982,W01,10,-61,1,10,1.1560,0.9759
HVM-0982,W01,11,-61,2,20,1.1276,0.9604
HVM-0982,W01,12,-61,1,10,1.1468,0.9913
HVM-0982,W01,13,-61,3,20,1.1978,0.9810
HVM-0982,W01,14,-61,3,31,1.1353,0.9363
HVM-0982,W01,15,-61,1,10,1.1224,0.9630
HVM-0982,W01,16,-61,1,10,1.1734,0.9714
HVM-0982,W01,-18,-60,1,10,1.0260,0.9978
HVM-0982,W01,-17,-60,1,10,1.0535,0.9755
HVM-0982,W01,-16,-60,1,10,1.0658,1.0024
HVM-0982,W01,-15,-60,3,31,1.1022,0.9827
HVM-0982,W01,-14,-60,1,10,1.0635,0.9576
HVM-0982,W01,-13,-60,2,20,1.0945,0.9772
HVM-0982,W01,-12,-60,1,10,1.0660,0.9637
HVM-0982,W01,-11,-60,1,10,1.1105,0.9610
HVM-0982,W01,-10,-60,1,10,1.0727,0.9500
HVM-0982,W01,-9,-60,1,10,1.0772,0.9254
HVM-0982,W01,-8,-60,1,10,1.0566,1.0008
HVM-0982,W01,-7,-60,1,10,1.1336,0.9404
HVM-0982,W01,-6,-60,1,10,1.1271,1.0186
HVM-0982,W01,-5,-60,1,10,1.1463,0.9500
HVM-0982,W01,-4,-60,1,10,1.1202,0.9775
HVM-0982,W01,-3,-60,1,10,1.0665,0.9398
HVM-0982,W01,-2,-60,1,10,1.1207,0.9630
HVM-0982,W01,-1,-60,1,10,1.1027,0.9719
HVM-0982,W01,0,-60,1,10,1.1027,0.9977
HVM-0982,W01,1,-60,1,10,1.1051,0.9651
HVM-0982,W01,2,-60,1,10,1.1421,0.9474
HVM-0982,W01,3,-60,1,10,1.1416,0.9386
HVM-0982,W01,4,-60,1,10,1.1242,0.9537
HVM-0982,W01,5,-60,1,10,1.1362,0.9449
HVM-0982,W01,6,-60,1,10,1.1496,0.9013
HVM-0982,W01,7,-60,1,10,1.1076,0.9883
HVM-0982,W01,8,-60,1,10,1.1482,0.9454
HVM-0982,W01,9,-60,1,10,1.1582,0.9783
HVM-0982,W01,10,-60,1,10,1.1783,0.9084
HVM-0982,W01,11,-60,1,10,1.1393,0.9955
HVM-0982,W01,12,-60,2,20,1.1609,0.9307
HVM-0982,W01,13,-60,1,10,1.1466,0.9572
HVM-0982,W01,14,-60,4,20,1.1961,0.9855
HVM-0982,W01,15,-60,2,21,1.1523,0.9635
HVM-0982,W01,16,-60,1,10,1.1815,0.9745
HVM-0982,W01,17,-60,4,21,1.2017,0.9417
HVM-0982,W01,18,-60,2,31,1.2432,0.9789
HVM-0982,W01,-19,-59,2,21,1.0835,0.9975
HVM-0982,W01,-18,-59,2,20,1.0596,0.9305
HVM-0982,W01,-17,-59,1,10,1.0727,1.0052
HVM-0982,W01,-16,-59,3,21,1.0455,0.9554
HVM-0982,W01,-15,-59,1,10,1.0310,0.9818
HVM-0982,W01,-14,-59,4,30,1.1081,0.9998
HVM-0982,W01,-13,-59,1,10,1.1067,0.9322
HVM-0982,W01,-12,-59,1,10,1.0763,0.9745
HVM-0982,W01,-11,-59,1,10,1.0785,0.9870
HVM-0982,W01,-10,-59,1,10,1.0780,0.9556
HVM-0982,W01,-9,-59,1,10,1.0747,0.9718
HVM-0982,W01,-8,-59,1,10,1.0384,0.9655
HVM-0982,W01,-7,-59,1,10,1.1288,0.9767
HVM-0982,W01,-6,-59,1,10,1.0799,0.9749
HVM-0982,W01,-5,-59,1,10,1.1121,0.9895
HVM-0982,W01,-4,-59,1,10,1.1207,0.9632
HVM-0982,W01,-3,-59,1,10,1.1408,0.9566
HVM-0982,W01,-2,-59,1,10,1.1223,0.9513
HVM-0982,W01,-1,-59,1,10,1.1172,0.9844
HVM-0982,W01,0,-59,1,10,1.1343,0.9509
HVM-0982,W01,1,-59,1,10,1.1005,0.9877
HVM-0982,W01,2,-59,1,10,1.0909,0.9540
HVM-0982,W01,3,-59,1,10,1.1167,0.9936
HVM-0982,W01,4,-59,1,10,1.0937,0.9392
HVM-0982,W01,5,-59,1,10,1.1526,0.9315
HVM-0982,W01,6,-59,1,10,1.1351,0.9685
HVM-0982,W01,7,-59,1,10,1.1041,0.9579
HVM-0982,W01,8,-59,1,10,1.1205,0.9371
HVM-0982,W01,9,-59,1,10,1.1101,0.9675
HVM-0982,W01,10,-59,1,10,1.1378,0.9588
HVM-0982,W01,11,-59,1,10,1.1895,0.9709
HVM-0982,W01,12,-59,1,10,1.1474,0.9817
HVM-0982,W01,13,-59,1,10,1.1491,0.9803
HVM-0982,W01,14,-59,1,10,1.1550,0.9474
HVM-0982,W01,15,-59,1,10,1.1733,0.9765
HVM-0982,W01,16,-59,1,10,1.1078,0.9985
HVM-0982,W01,17,-59,4,31,1.2046,0.9793
HVM-0982,W01,18,-59,1,10,1.1531,0.9943
HVM-0982,W01,19,-59,1,10,1.1759,0.9495
HVM-0982,W01,-21,-58,2,21,1.0399,0.9598
HVM-0982,W01,-20,-58,1,10,1.0785,0.9775
HVM-0982,W01,-19,-58,1,10,1.0385,0.9619
HVM-0982,W01,-18,-58,1,10,1.0934,0.9972
HVM-0982,W01,-17,-58,1,10,1.0564,0.8941
HVM-0982,W01,-16,-58,1,10,1.0803,0.9102
HVM-0982,W01,-15,-58,2,30,1.0989,0.9269
HVM-0982,W01,-14,-58,1,10,1.0804,0.9706
HVM-0982,W01,-13,-58,1,10,1.0794,0.9737
HVM-0982,W01,-12,-58,1,10,1.0494,1.0068
HVM-0982,W01,-11,-58,1,10,1.0422,0.9715
HVM-0982,W01,-10,-58,1,10,1.0617,0.9213
HVM-0982,W01,-9,-58,3,21,1.1039,0.9847
HVM-0982,W01,-8,-58,1,10,1.0898,0.9220
HVM-0982,W01,-7,-58,1,10,1.1056,0.9877
HVM-0982,W01,-6,-58,1,10,1.1178,0.9708
HVM-0982,W01,-5,-58,1,10,1.0874,0.9802
HVM-0982,W01,-4,-58,1,10,1.0670,0.9369
HVM-0982,W01,-3,-58,1,10,1.0666,0.9644
HVM-0982,W01,-2,-58,1,10,1.1510,0.9699
HVM-0982,W01,-1,-58,1,10,1.0924,0.9675
HVM-0982,W01,0,-58,1,10,1.0777,0.9613
HVM-0982,W01,1,-58,1,10,1.0988,0.9935
HVM-0982,W01,2,-58,1,10,1.0883,0.9619
HVM-0982,W01,3,-58,1,10,1.1493,0.9883
HVM-0982,W01,4,-58,1,10,1.1088,0.9633
HVM-0982,W01,5,-58,1,10,1.0916,0.9105
HVM-0982,W01,6,-58,1,10,1.1503,0.9622
HVM-0982,W01,7,-58,1,10,1.1103,0.9225
HVM-0982,W01,8,-58,1,10,1.1650,0.9805
HVM-0982,W01,9,-58,1,10,1.1470,0.9316
HVM-0982,W01,10,-58,1,10,1.1629,1.0213
HVM-0982,W01,11,-58,1,10,1.1578,0.9796
HVM-0982,W01,12,-58,1,10,1.1837,0.9762
HVM-0982,W01,13,-58,1,10,1.1396,0.9685
HVM-0982,W01,14,-58,1,10,1.1418,0.9176
HVM-0982,W01,15,-58,1,10,1.1379,0.9502
HVM-0982,W01,16,-58,1,10,1.1656,0.9858
HVM-0982,W01,17,-58,3,20,1.2146,0.9875
HVM-0982,W01,18,-58,1,10,1.1256,1.0087
HVM-0982,W01,19,-58,1,10,1.1718,0.9562
HVM-0982,W01,20,-58,1,10,1.1869,0.9232
HVM-0982,W01,21,-58,1,10,1.1555,0.9122
HVM-0982,W01,-22,-57,1,10,1.0850,1.0064
HVM-0982,W01,-21,-57,2,21,1.0423,0.9482
HVM-0982,W01,-20,-57,1,10,1.0449,0.9841
HVM-0982,W01,-19,-57,4,20,1.0679,0.9689
HVM-0982,W01,-18,-57,3,20,1.1106,0.9478
HVM-0982,W01,-17,-57,2,21,1.0880,0.9183
HVM-0982,W01,-16,-57,1,10,1.0824,0.9497
HVM-0982,W01,-15,-57,1,10,1.0800,0.9633
HVM-0982,W01,-14,-57,1,10,1.0809,0.9808
HVM-0982,W01,-13,-57,1,10,1.0705,0.9377
HVM-0982,W01,-12,-57,1,10,1.0874,0.9365
HVM-0982,W01,-11,-57,1,10,1.0645,0.9404
HVM-0982,W01,-10,-57,1,10,1.0783,0.9951
HVM-0982,W01,-9,-57,1,10,1.0887,0.9454
HVM-0982,W01,-8,-57,1,10,1.0786,0.9728
HVM-0982,W01,-7,-57,1,10,1.1109,0.9483
HVM-0982,W01,-6,-57,1,10,1.1122,0.9934
HVM-0982,W01,-5,-57,1,10,1.1023,0.9391
HVM-0982,W01,-4,-57,1,10,1.0606,0.9134
HVM-0982,W01,-3,-57,4,31,1.1036,0.9827
HVM-0982,W01,-2,-57,1,10,1.1224,0.9330
HVM-0982,W01,-1,-57,1,10,1.1259,0.9428
HVM-0982,W01,0,-57,1,10,1.1000,0.9726
HVM-0982,W01,1,-57,2,20,1.1341,0.9426
HVM-0982,W01,2,-57,1,10,1.1356,0.9556
HVM-0982,W01,3,-57,1,10,1.1799,0.9535
HVM-0982,W01,4,-57,1,10,1.1437,0.9053
HVM-0982,W01,5,-57,1,10,1.1231,0.9221
HVM-0982,W01,6,-57,1,10,1.1769,0.9490
HVM-0982,W01,7,-57,1,10,1.1041,0.9678
HVM-0982,W01,8,-57,1,10,1.1492,0.9710
HVM-0982,W01,9,-57,1,10,1.1403,0.9435
HVM-0982,W01,10,-57,1,10,1.1439,0.9532
HVM-0982,W01,11,-57,1,10,1.1710,0.9422
HVM-0982,W01,12,-57,1,10,1.1511,0.9348
HVM-0982,W01,13,-57,1,10,1.1328,0.9674
HVM-0982,W01,14,-57,1,10,1.1825,0.9263
HVM-0982,W01,15,-57,1,10,1.1972,0.9732
HVM-0982,W01,16,-57,2,30,1.2050,0.9723
HVM-0982,W01,17,-57,1,10,1.1691,0.9605
HVM-0982,W01,18,-57,3,21,1.1812,0.9474
HVM-0982,W01,19,-57,3,31,1.1406,0.9985
HVM-0982,W01,20,-57,1,10,1.1480,0.9402
HVM-0982,W01,21,-57,2,31,1.1940,0.9765
HVM-0982,W01,22,-57,3,21,1.1202,0.9318
HVM-0982,W01,-24,-56,2,30,1.0431,0.9428
HVM-0982,W01,-23,-56,1,10,1.0757,0.9895
HVM-0982,W01,-22,-56,1,10,1.0215,0.9841
HVM-0982,W01,-21,-56,1,10,1.0416,0.9749
HVM-0982,W01,-20,-56,1,10,1.0738,0.9994
HVM-0982,W01,-19,-56,3,20,1.0873,0.9829
HVM-0982,W01,-18,-56,1,10,1.0263,0.9245
HVM-0982,W01,-17,-56,1,10,1.0396,0.9737
HVM-0982,W01,-16,-56,1,10,1.0906,0.9861
HVM-0982,W01,-15,-56,1,10,1.0726,0.9371
HVM-0982,W01,-14,-56,1,10,1.0296,1.0152
HVM-0982,W01,-13,-56,2,21,1.1083,0.9486
HVM-0982,W01,-12,-56,1,10,1.0573,0.9741
HVM-0982,W01,-11,-56,1,10,1.0858,0.9521
HVM-0982,W01,-10,-56,1,10,1.0822,0.9357
HVM-0982,W01,-9,-56,1,10,1.1010,1.0125
HVM-0982,W01,-8,-56,1,10,1.1308,0.9292
HVM-0982,W01,-7,-56,3,31,1.0770,0.9429
HVM-0982,W01,-6,-56,1,10,1.1330,0.9535
HVM-0982,W01,-5,-56,1,10,1.0601,0.9527
HVM-0982,W01,-4,-56,1,10,1.0850,0.9645
HVM-0982,W01,-3,-56,1,10,1.1338,0.9668
HVM-0982,W01,-2,-56,1,10,1.0806,0.9705
HVM-0982,W01,-1,-56,1,10,1.1083,0.9165
HVM-0982,W01,0,-56,1,10,1.0794,0.9581
HVM-0982,W01,1,-56,1,10,1.1320,0.9919
HVM-0982,W01,2,-56,1,10,1.1160,0.9865
HVM-0982,W01,3,-56,1,10,1.1274,0.9205
HVM-0982,W01,4,-56,1,10,1.1566,0.9481
HVM-0982,W01,5,-56,1,10,1.1128,0.9324
HVM-0982,W01,6,-56,1,10,1.1056,0.9658
HVM-0982,W01,7,-56,1,10,1.1144,0.9285
HVM-0982,W01,8,-56,1,10,1.1244,0.9808
HVM-0982,W01,9,-56,1,10,1.1457,0.9464
HVM-0982,W01,10,-56,1,10,1.1409,0.9948
HVM-0982,W01,11,-56,1,10,1.1687,0.9608
HVM-0982,W01,12,-56,1,10,1.1693,0.9285
HVM-0982,W01,13,-56,1,10,1.1899,0.9610
HVM-0982,W01,14,-56,1,10,1.1760,0.9686
HVM-0982,W01,15,-56,1,10,1.1434,0.9454
HVM-0982,W01,16,-56,1,10,1.1841,0.9573
HVM-0982,W01,17,-56,1,10,1.2314,0.9604
HVM-0982,W01,18,-56,1,10,1.1684,0.9619
HVM-0982,W01,19,-56,1,10,1.1686,0.9614
HVM-0982,W01,20,-56,1,10,1.1578,0.9707
HVM-0982,W01,21,-56,1,10,1.1909,0.9471
HVM-0982,W01,22,-56,1,10,1.1688,0.9412
HVM-0982,W01,23,-56,1,10,1.1380,0.9453
HVM-0982,W01,24,-56,1,10,1.1920,0.9281
HVM-0982,W01,-25,-55,1,10,1.0218,0.9420
HVM-0982,W01,-24,-55,4,20,1.1101,0.9413
HVM-0982,W01,-23,-55,1,10,1.0081,0.9456
HVM-0982,W01,-22,-55,4,20,1.0246,0.9312
HVM-0982,W01,-21,-55,1,10,1.0477,0.9626
HVM-0982,W01,-20,-55,1,10,1.0182,0.9552
HVM-0982,W01,-19,-55,1,10,1.0450,0.9684
HVM-0982,W01,-18,-55,1,10,1.0233,0.9956
HVM-0982,W01,-17,-55,1,10,1.0796,0.9549
HVM-0982,W01,-16,-55,4,30,1.0392,0.9342
HVM-0982,W01,-15,-55,1,10,1.0815,0.9639
HVM-0982,W01,-14,-55,2,20,1.0997,1.0156
HVM-0982,W01,-13,-55,1,10,1.1007,0.9559
HVM-0982,W01,-12,-55,1,10,1.0647,0.9736
HVM-0982,W01,-11,-55,1,10,1.0702,0.9816
HVM-0982,W01,-10,-55,1,10,1.0810,0.9503
HVM-0982,W01,-9,-55,1,10,1.0830,0.9248
HVM-0982,W01,-8,-55,1,10,1.0698,0.9234
HVM-0982,W01,-7,-55,2,31,1.1432,0.9569
HVM-0982,W01,-6,-55,1,10,1.0733,0.9437
HVM-0982,W01,-5,-55,1,10,1.1244,0.9881
HVM-0982,W01,-4,-55,1,10,1.0907,0.9197
HVM-0982,W01,-3,-55,1,10,1.1037,0.9197
HVM-0982,W01,-2,-55,1,10,1.1097,0.9300
HVM-0982,W01,-1,-55,1,10,1.1393,0.9671
HVM-0982,W01,0,-55,1,10,1.1075,0.8906
HVM-0982,W01,1,-55,1,10,1.1403,0.9669
HVM-0982,W01,2,-55,1,10,1.0958,0.9488
HVM-0982,W01,3,-55,1,10,1.1427,0.9569
HVM-0982,W01,4,-55,1,10,1.1580,0.9344
HVM-0982,W01,5,-55,1,10,1.1426,0.9304
HVM-0982,W01,6,-55,3,31,1.1816,0.9968
HVM-0982,W01,7,-55,1,10,1.1658,0.9349
HVM-0982,W01,8,-55,1,10,1.1525,0.9279
HVM-0982,W01,9,-55,1,10,1.1359,0.9161
HVM-0982,W01,10,-55,1,10,1.1416,0.9358
HVM-0982,W01,11,-55,1,10,1.1493,0.9899
HVM-0982,W01,12,-55,1,10,1.1468,0.9614
HVM-0982,W01,13,-55,1,10,1.1217,0.9673
HVM-0982,W01,14,-55,1,10,1.1178,0.9224
HVM-0982,W01,15,-55,1,10,1.1389,0.9922
HVM-0982,W01,16,-55,1,10,1.1570,0.9416
HVM-0982,W01,17,-55,1,10,1.1729,0.9773
HVM-0982,W01,18,-55,1,10,1.1786,0.9521
HVM-0982,W01,19,-55,1,10,1.2087,0.9567
HVM-0982,W01,20,-55,1,10,1.1803,0.9798
HVM-0982,W01,21,-55,1,10,1.1162,0.9775
HVM-0982,W01,22,-55,1,10,1.1800,0.9687
HVM-0982,W01,23,-55,1,10,1.2172,0.9801
HVM-0982,W01,24,-55,1,10,1.1663,0.9868
HVM-0982,W01,25,-55,1,10,1.2020,0.9814
HVM-0982,W01,-26,-54,1,10,1.0737,0.9603
HVM-0982,W01,-25,-54,2,30,1.0403,1.0019
HVM-0982,W01,-24,-54,1,10,1.0998,0.9783
HVM-0982,W01,-23,-54,1,10,1.0525,0.9617
HVM-0982,W01,-22,-54,4,31,1.0706,0.9972
HVM-0982,W01,-21,-54,1,10,1.0560,0.9494
HVM-0982,W01,-20,-54,1,10,1.0135,0.9782
HVM-0982,W01,-19,-54,1,10,1.0982,0.9535
HVM-0982,W01,-18,-54,1,10,1.0329,0.9587
HVM-0982,W01,-17,-54,1,10,1.0692,0.9501
HVM-0982,W01,-16,-54,1,10,1.0708,0.9370
HVM-0982,W01,-15,-54,1,10,1.0763,0.9427
HVM-0982,W01,-14,-54,1,10,1.0743,1.0114
HVM-0982,W01,-13,-54,1,10,1.0869,0.9982
HVM-0982,W01,-12,-54,1,10,1.0585,0.9454
HVM-0982,W01,-11,-54,1,10,1.1120,0.9662
HVM-0982,W01,-10,-54,1,10,1.0945,0.9711
HVM-0982,W01,-9,-54,1,10,1.1331,0.9303
HVM-0982,W01,-8,-54,1,10,1.1082,0.9647
HVM-0982,W01,-7,-54,1,10,1.1193,0.9461
HVM-0982,W01,-6,-54,1,10,1.1013,0.9383
HVM-0982,W01,-5,-54,1,10,1.1063,0.9188
HVM-0982,W01,-4,-54,1,10,1.1090,0.9610
HVM-0982,W01,-3,-54,1,10,1.1022,0.9626
HVM-0982,W01,-2,-54,1,10,1.0859,0.9362
HVM-0982,W01,-1,-54,1,10,1.1642,0.9463
HVM-0982,W01,0,-54,1,10,1.1178,0.9276
HVM-0982,W01,1,-54,1,10,1.1327,0.9736
HVM-0982,W01,2,-54,1,10,1.1464,0.9643
HVM-0982,W01,3,-54,1,10,1.1472,0.9966
HVM-0982,W01,4,-54,1,10,1.1069,0.9294
HVM-0982,W01,5,-54,1,10,1.1572,0.9590
HVM-0982,W01,6,-54,3,21,1.1948,0.9557
HVM-0982,W01,7,-54,1,10,1.1724,0.9717
HVM-0982,W01,8,-54,1,10,1.1660,0.9558
HVM-0982,W01,9,-54,1,10,1.1412,0.9156
HVM-0982,W01,10,-54,1,10,1.1701,0.9634
HVM-0982,W01,11,-54,1,10,1.1736,0.9178
HVM-0982,W01,12,-54,1,10,1.1871,0.9329
HVM-0982,W01,13,-54,1,10,1.2068,0.9476
HVM-0982,W01,14,-54,1,10,1.1448,0.9253
HVM-0982,W01,15,-54,1,10,1.1742,0.9273
HVM-0982,W01,16,-54,1,10,1.2087,0.9416
HVM-0982,W01,17,-54,1,10,1.2087,0.9491
HVM-0982,W01,18,-54,1,10,1.1726,0.9362
HVM-0982,W01,19,-54,1,10,1.1909,0.9424
HVM-0982,W01,20,-54,1,10,1.1665,0.9494
HVM-0982,W01,21,-54,1,10,1.2092,0.9632
HVM-0982,W01,22,-54,1,10,1.2307,0.9680
HVM-0982,W01,23,-54,1,10,1.2321,0.9672
HVM-0982,W01,24,-54,1,10,1.1728,0.9574
HVM-0982,W01,25,-54,1,10,1.2201,0.9686
HVM-0982,W01,26,-54,1,10,1.1679,0.9590
HVM-0982,W01,-27,-53,1,10,1.0195,0.9617
HVM-0982,W01,-26,-53,1,10,1.0632,0.9414
HVM-0982,W01,-25,-53,2,30,1.0728,0.9511
HVM-0982,W01,-24,-53,1,10,1.0383,0.9653
HVM-0982,W01,-23,-53,1,10,1.0713,0.9604
HVM-0982,W01,-22,-53,1,10,1.0399,0.9643
HVM-0982,W01,-21,-53,1,10,1.0663,0.9731
HVM-0982,W01,-20,-53,1,10,1.0448,0.9622
HVM-0982,W01,-19,-53,1,10,1.0501,0.9891
HVM-0982,W01,-18,-53,1,10,1.0711,0.9534
HVM-0982,W01,-17,-53,1,10,1.0811,0.9316
HVM-0982,W01,-16,-53,1,10,1.0726,0.9496
HVM-0982,W01,-15,-53,1,10,1.0933,0.9543
HVM-0982,W01,-14,-53,1,10,1.1111,0.9674
HVM-0982,W01,-13,-53,1,10,1.0697,0.9761
HVM-0982,W01,-12,-53,1,10,1.1450,0.9464
HVM-0982,W01,-11,-53,1,10,1.0636,0.9514
HVM-0982,W01,-10,-53,1,10,1.1418,0.9258
HVM-0982,W01,-9,-53,1,10,1.1357,0.9287
HVM-0982,W01,-8,-53,1,10,1.0792,0.9494
HVM-0982,W01,-7,-53,1,10,1.1132,0.9365
HVM-0982,W01,-6,-53,1,10,1.0759,0.9647
HVM-0982,W01,-5,-53,1,10,1.1029,0.9499
HVM-0982,W01,-4,-53,1,10,1.1051,0.9626
HVM-0982,W01,-3,-53,1,10,1.1417,1.0016
HVM-0982,W01,-2,-53,1,10,1.1213,0.9724
HVM-0982,W01,-1,-53,1,10,1.1172,0.9352
HVM-0982,W01,0,-53,1,10,1.1224,0.9858
HVM-0982,W01,1,-53,1,10,1.1489,0.9591
HVM-0982,W01,2,-53,1,10,1.1467,0.9302
HVM-0982,W01,3,-53,1,10,1.1339,0.9191
HVM-0982,W01,4,-53,1,10,1.1751,0.9425
HVM-0982,W01,5,-53,1,10,1.0988,0.9351
HVM-0982,W01,6,-53,1,10,1.1417,0.9383
HVM-0982,W01,7,-53,1,10,1.1288,0.9374
HVM-0982,W01,8,-53,1,10,1.1214,0.9399
HVM-0982,W01,9,-53,4,31,1.1670,0.9196
HVM-0982,W01,10,-53,1,10,1.1202,0.9161
HVM-0982,W01,11,-53,1,10,1.1472,0.9725
HVM-0982,W01,12,-53,1,10,1.1298,0.9350
HVM-0982,W01,13,-53,1,10,1.1705,0.9796
HVM-0982,W01,14,-53,1,10,1.1570,0.9420
HVM-0982,W01,15,-53,1,10,1.1829,0.9092
HVM-0982,W01,16,-53,1,10,1.2068,0.9424
HVM-0982,W01,17,-53,1,10,1.1929,0.9768
HVM-0982,W01,18,-53,1,10,1.1579,0.9403
HVM-0982,W01,19,-53,1,10,1.2057,0.9502
HVM-0982,W01,20,-53,1,10,1.2008,0.9470
HVM-0982,W01,21,-53,1,10,1.2113,0.9280
HVM-0982,W01,22,-53,1,10,1.1830,0.9814
HVM-0982,W01,23,-53,1,10,1.1666,0.9480
HVM-0982,W01,24,-53,1,10,1.1776,0.9808
HVM-0982,W01,25,-53,3,21,1.2236,0.9359
HVM-0982,W01,26,-53,3,21,1.1988,0.9490
HVM-0982,W01,27,-53,1,10,1.2144,0.9715
HVM-0982,W01,-28,-52,1,10,1.0312,0.9586
HVM-0982,W01,-27,-52,1,10,1.0274,0.9652
HVM-0982,W01,-26,-52,1,10,1.0216,0.9925
HVM-0982,W01,-25,-52,2,30,1.0492,0.9705
HVM-0982,W01,-24,-52,3,21,1.0977,0.9826
HVM-0982,W01,-23,-52,1,10,1.0635,1.0076
