LOT_ID,WAFER_NUM,X_POS,Y_POS,HBN,SBN,DIE_STATUS,TEMP_C,LEAKAGE_UA,VDD_DROOP_MV,CLOCK_MHZ,MARGIN_PCT
LOT2024-01,W01,-4,0,3,0,TRFAIL,25,1.9,12,2110,18.5
LOT2024-01,W01,-4,1,3,0,TRFAIL,25,2.0,11,2112,19.0
LOT2024-01,W01,-4,2,1,0,PASS,25,2.1,45,2102,8.2
LOT2024-01,W01,-4,3,1,0,PASS,25,2.3,48,2099,7.9
LOT2024-01,W01,-4,4,1,0,PASS,25,2.2,46,2101,8.1
LOT2024-01,W02,0,0,1,0,PASS,25,2.2,46,2100,8.1
LOT2024-01,W02,1,0,1,0,PASS,25,2.4,49,2098,7.7
LOT2024-01,W02,2,0,1,0,PASS,25,2.1,45,2102,8.2
LOT2024-01,W02,0,1,1,0,PASS,25,2.3,48,2099,7.9
LOT2024-01,W02,1,1,1,0,PASS,25,2.5,50,2097,7.6
LOT2024-01,W02,2,1,2,8,FAIL,25,15.3,89,1870,0.3
LOT2024-01,W02,0,2,1,0,PASS,25,2.2,46,2101,8.1
LOT2024-01,W02,1,2,1,0,PASS,25,2.4,49,2098,7.7
LOT2024-01,W02,2,2,1,0,PASS,25,2.3,48,2099,7.9
LOT2024-01,W02,0,3,1,0,PASS,25,2.1,44,2103,8.3
LOT2024-01,W02,1,3,1,0,PASS,25,2.2,46,2101,8.1
LOT2024-01,W02,2,3,1,0,PASS,25,2.5,50,2097,7.6
LOT2024-01,W02,0,4,1,0,PASS,25,2.4,49,2098,7.7
LOT2024-01,W02,1,4,1,0,PASS,25,2.3,48,2099,7.9
LOT2024-01,W02,2,4,1,0,PASS,25,2.1,45,2102,8.2
LOT2024-01,W02,-1,0,1,0,PASS,25,2.6,51,2095,7.4
LOT2024-01,W02,-1,1,2,8,FAIL,25,14.5,87,1900,0.6
LOT2024-01,W02,-1,2,1,0,PASS,25,2.2,46,2101,8.1
LOT2024-01,W02,-1,3,1,0,PASS,25,2.3,48,2099,7.9
LOT2024-01,W02,-1,4,1,0,PASS,25,2.4,49,2098,7.7
LOT2024-01,W02,-2,0,1,0,PASS,25,2.1,44,2103,8.3
LOT2024-01,W02,-2,1,1,0,PASS,25,2.5,50,2097,7.6
LOT2024-01,W02,-2,2,1,0,PASS,25,2.2,46,2101,8.1
LOT2024-01,W02,-2,3,1,0,PASS,25,2.4,49,2098,7.7
LOT2024-01,W02,-2,4,1,0,PASS,25,2.3,48,2099,7.9
LOT2024-01,W03,0,0,1,0,PASS,25,2.3,48,2099,7.9
LOT2024-01,W03,1,0,1,0,PASS,25,2.1,45,2102,8.2
LOT2024-01,W03,2,0,1,0,PASS,25,2.4,49,2098,7.7
LOT2024-01,W03,0,1,1,0,PASS,25,2.2,46,2101,8.1
LOT2024-01,W03,1,1,1,0,PASS,25,2.5,50,2097,7.6
LOT2024-01,W03,2,1,1,0,PASS,25,2.3,48,2099,7.9
LOT2024-01,W03,0,2,1,0,PASS,25,2.1,44,2103,8.3
LOT2024-01,W03,1,2,1,0,PASS,25,2.6,51,2095,7.4
LOT2024-01,W03,2,2,1,0,PASS,25,2.2,46,2101,8.1
LOT2024-01,W03,0,3,3,0,TRFAIL,25,2.0,10,2115,20.2
LOT2024-01,W03,1,3,1,0,PASS,25,2.4,49,2098,7.7
LOT2024-01,W03,2,3,1,0,PASS,25,2.3,48,2099,7.9
