lot,wafer,x,y,siteId,hbin,sbin,testdate,temp,testA,testB,testC
LOT123,W01,-11,-9,77,1,10,2026-04-22,25,1.109,0.498,65.686
LOT123,W01,-10,-9,78,4,45,2026-04-22,25,1.035,0.495,59.648
LOT123,W01,-9,-9,79,1,10,2026-04-22,25,1.169,0.479,51.650
LOT123,W01,-8,-9,80,2,20,2026-04-22,25,0.981,0.471,55.313
LOT123,W01,-7,-9,81,1,10,2026-04-22,25,0.797,0.451,52.528
LOT123,W01,-6,-9,82,1,10,2026-04-22,25,1.030,0.512,41.571
LOT123,W01,-5,-9,83,1,10,2026-04-22,25,0.943,0.501,51.222
LOT123,W01,-4,-9,84,1,10,2026-04-22,25,1.170,0.526,59.509
LOT123,W01,-3,-9,85,1,10,2026-04-22,25,1.119,0.513,48.118
LOT123,W01,-2,-9,86,1,10,2026-04-22,25,1.092,0.454,49.291
LOT123,W01,-1,-9,87,1,10,2026-04-22,25,1.083,0.473,67.312
LOT123,W01,0,-9,88,4,45,2026-04-22,25,0.967,0.477,51.187
LOT123,W01,1,-9,89,4,45,2026-04-22,25,1.284,0.492,69.061
LOT123,W01,2,-9,90,1,10,2026-04-22,25,1.016,0.490,62.928
LOT123,W01,3,-9,91,1,10,2026-04-22,25,1.059,0.517,79.528
LOT123,W01,4,-9,92,2,20,2026-04-22,25,0.982,0.497,65.808
LOT123,W01,5,-9,93,1,10,2026-04-22,25,1.230,0.473,49.723
LOT123,W01,6,-9,94,1,10,2026-04-22,25,1.091,0.502,59.283
LOT123,W01,7,-9,95,1,10,2026-04-22,25,0.969,0.525,60.086
LOT123,W01,8,-9,96,1,10,2026-04-22,25,1.189,0.499,73.523
LOT123,W01,9,-9,97,3,40,2026-04-22,25,1.104,0.493,53.411
LOT123,W01,10,-9,98,1,10,2026-04-22,25,1.033,0.494,63.597
LOT123,W01,11,-9,99,2,20,2026-04-22,25,1.207,0.500,44.758
LOT123,W01,-12,-8,100,1,10,2026-04-22,25,0.870,0.484,58.273
LOT123,W01,-11,-8,101,1,10,2026-04-22,25,0.981,0.465,73.188
LOT123,W01,-10,-8,102,1,10,2026-04-22,25,0.992,0.460,61.747
LOT123,W01,-9,-8,103,1,10,2026-04-22,25,1.015,0.490,50.739
LOT123,W01,-8,-8,104,1,10,2026-04-22,25,1.157,0.488,51.250
LOT123,W01,-7,-8,105,2,20,2026-04-22,25,0.868,0.503,53.624
LOT123,W01,-6,-8,106,4,45,2026-04-22,25,1.071,0.508,60.256
LOT123,W01,-5,-8,107,1,10,2026-04-22,25,1.235,0.512,66.251
LOT123,W01,-4,-8,108,1,10,2026-04-22,25,1.185,0.474,59.774
LOT123,W01,-3,-8,109,1,10,2026-04-22,25,0.922,0.484,59.424
LOT123,W01,-2,-8,110,1,10,2026-04-22,25,1.123,0.483,39.150
LOT123,W01,-1,-8,111,1,10,2026-04-22,25,1.095,0.510,51.363
LOT123,W01,0,-8,112,1,10,2026-04-22,25,1.080,0.507,70.660
LOT123,W01,1,-8,113,1,10,2026-04-22,25,1.150,0.506,36.675
LOT123,W01,2,-8,114,1,10,2026-04-22,25,1.019,0.466,40.074
LOT123,W01,3,-8,115,1,10,2026-04-22,25,1.183,0.507,53.623
LOT123,W01,4,-8,116,1,10,2026-04-22,25,0.917,0.496,53.245
LOT123,W01,5,-8,117,1,10,2026-04-22,25,1.051,0.509,61.802
LOT123,W01,6,-8,118,1,10,2026-04-22,25,1.018,0.462,40.345
LOT123,W01,7,-8,119,1,10,2026-04-22,25,0.856,0.489,59.211
LOT123,W01,8,-8,120,1,10,2026-04-22,25,1.161,0.464,44.842
LOT123,W01,9,-8,121,1,10,2026-04-22,25,1.096,0.496,57.971
LOT123,W01,10,-8,122,2,20,2026-04-22,25,1.099,0.523,41.394
LOT123,W01,11,-8,123,1,10,2026-04-22,25,0.888,0.501,70.514
LOT123,W01,12,-8,124,1,10,2026-04-22,25,1.035,0.461,36.686
LOT123,W01,-12,-7,125,1,10,2026-04-22,25,1.072,0.477,69.871
LOT123,W01,-11,-7,126,2,20,2026-04-22,25,1.016,0.475,57.446
LOT123,W01,-10,-7,127,1,10,2026-04-22,25,1.194,0.468,31.670
LOT123,W01,-9,-7,128,1,10,2026-04-22,25,1.010,0.489,69.277
LOT123,W01,-8,-7,129,1,10,2026-04-22,25,1.018,0.458,62.014
LOT123,W01,-7,-7,130,2,20,2026-04-22,25,0.904,0.494,41.223
LOT123,W01,-6,-7,131,1,10,2026-04-22,25,1.191,0.518,49.502
LOT123,W01,-5,-7,132,3,40,2026-04-22,25,1.004,0.511,44.012
LOT123,W01,-4,-7,133,1,10,2026-04-22,25,1.148,0.478,53.792
LOT123,W01,-3,-7,134,1,10,2026-04-22,25,1.046,0.491,64.514
LOT123,W01,-2,-7,135,1,10,2026-04-22,25,1.134,0.484,49.831
LOT123,W01,-1,-7,136,1,10,2026-04-22,25,0.908,0.506,53.591
LOT123,W01,0,-7,137,1,10,2026-04-22,25,1.252,0.447,60.150
LOT123,W01,1,-7,138,1,10,2026-04-22,25,1.007,0.503,65.283
LOT123,W01,2,-7,139,1,10,2026-04-22,25,1.167,0.468,58.785
LOT123,W01,3,-7,140,1,10,2026-04-22,25,1.106,0.493,38.754
LOT123,W01,4,-7,141,1,10,2026-04-22,25,1.155,0.486,47.906
LOT123,W01,5,-7,142,1,10,2026-04-22,25,1.087,0.465,63.891
LOT123,W01,6,-7,143,1,10,2026-04-22,25,0.979,0.495,59.340
LOT123,W01,7,-7,144,1,10,2026-04-22,25,0.979,0.456,57.314
LOT123,W01,8,-7,145,1,10,2026-04-22,25,1.133,0.507,80.707
LOT123,W01,9,-7,146,1,10,2026-04-22,25,0.951,0.517,72.028
LOT123,W01,10,-7,147,1,10,2026-04-22,25,1.188,0.503,41.613
LOT123,W01,11,-7,148,1,10,2026-04-22,25,0.997,0.519,64.460
LOT123,W01,12,-7,149,1,10,2026-04-22,25,1.069,0.485,45.560
LOT123,W01,-13,-6,150,1,10,2026-04-22,25,1.022,0.516,83.606
LOT123,W01,-12,-6,151,1,10,2026-04-22,25,1.070,0.482,51.902
LOT123,W01,-11,-6,152,1,10,2026-04-22,25,1.059,0.497,45.306
LOT123,W01,-10,-6,153,1,10,2026-04-22,25,1.212,0.502,46.123
LOT123,W01,-9,-6,154,1,10,2026-04-22,25,1.026,0.500,51.145
LOT123,W01,-8,-6,155,1,10,2026-04-22,25,1.163,0.500,60.457
LOT123,W01,-7,-6,156,1,10,2026-04-22,25,1.214,0.491,55.824
LOT123,W01,-6,-6,157,1,10,2026-04-22,25,1.045,0.477,67.779
LOT123,W01,-5,-6,158,3,40,2026-04-22,25,1.106,0.464,46.456
LOT123,W01,-4,-6,159,1,10,2026-04-22,25,1.010,0.483,53.224
LOT123,W01,-3,-6,160,1,10,2026-04-22,25,1.064,0.461,51.225
LOT123,W01,-2,-6,161,1,10,2026-04-22,25,1.233,0.474,66.445
LOT123,W01,-1,-6,162,1,10,2026-04-22,25,1.157,0.520,54.547
LOT123,W01,0,-6,163,1,10,2026-04-22,25,1.009,0.474,60.550
LOT123,W01,1,-6,164,1,10,2026-04-22,25,1.035,0.478,82.336
LOT123,W01,2,-6,165,3,40,2026-04-22,25,0.956,0.480,52.660
LOT123,W01,3,-6,166,1,10,2026-04-22,25,1.095,0.483,34.206
LOT123,W01,4,-6,167,1,10,2026-04-22,25,1.146,0.499,53.534
LOT123,W01,5,-6,168,1,10,2026-04-22,25,1.013,0.472,47.750
LOT123,W01,6,-6,169,1,10,2026-04-22,25,1.205,0.501,58.998
LOT123,W01,7,-6,170,3,40,2026-04-22,25,0.946,0.502,71.641
LOT123,W01,8,-6,171,1,10,2026-04-22,25,1.052,0.458,67.988
LOT123,W01,9,-6,172,1,10,2026-04-22,25,1.171,0.469,72.984
LOT123,W01,10,-6,173,1,10,2026-04-22,25,1.156,0.486,54.470
LOT123,W01,11,-6,174,1,10,2026-04-22,25,0.926,0.484,41.814
LOT123,W01,12,-6,175,1,10,2026-04-22,25,1.006,0.487,45.169
LOT123,W01,13,-6,176,1,10,2026-04-22,25,1.131,0.472,60.158
LOT123,W01,-13,-5,177,4,45,2026-04-22,25,0.948,0.469,44.265
LOT123,W01,-12,-5,178,1,10,2026-04-22,25,1.079,0.498,49.823
LOT123,W01,-11,-5,179,1,10,2026-04-22,25,1.181,0.462,51.371
LOT123,W01,-10,-5,180,1,10,2026-04-22,25,0.886,0.492,52.941
LOT123,W01,-9,-5,181,1,10,2026-04-22,25,1.079,0.458,44.379
LOT123,W01,-8,-5,182,1,10,2026-04-22,25,1.101,0.464,54.053
LOT123,W01,-7,-5,183,1,10,2026-04-22,25,0.826,0.464,39.998
LOT123,W01,-6,-5,184,1,10,2026-04-22,25,1.054,0.525,63.843
LOT123,W01,-5,-5,185,1,10,2026-04-22,25,1.256,0.500,23.583
LOT123,W01,-4,-5,186,1,10,2026-04-22,25,0.850,0.513,24.825
LOT123,W01,-3,-5,187,1,10,2026-04-22,25,1.177,0.517,63.697
LOT123,W01,-2,-5,188,1,10,2026-04-22,25,1.103,0.488,38.772
LOT123,W01,-1,-5,189,1,10,2026-04-22,25,1.056,0.478,28.456
LOT123,W01,0,-5,190,1,10,2026-04-22,25,1.118,0.496,81.458
LOT123,W01,1,-5,191,1,10,2026-04-22,25,0.873,0.491,62.348
LOT123,W01,2,-5,192,1,10,2026-04-22,25,1.238,0.488,51.023
LOT123,W01,3,-5,193,1,10,2026-04-22,25,1.152,0.511,41.814
LOT123,W01,4,-5,194,1,10,2026-04-22,25,0.981,0.467,65.417
LOT123,W01,5,-5,195,1,10,2026-04-22,25,1.037,0.500,67.855
LOT123,W01,6,-5,196,1,10,2026-04-22,25,1.402,0.515,61.133
LOT123,W01,7,-5,197,1,10,2026-04-22,25,1.171,0.473,44.820
LOT123,W01,8,-5,198,2,20,2026-04-22,25,1.046,0.478,53.293
LOT123,W01,9,-5,199,1,10,2026-04-22,25,0.991,0.506,47.395
LOT123,W01,10,-5,200,3,40,2026-04-22,25,0.966,0.492,47.054
LOT123,W01,11,-5,201,1,10,2026-04-22,25,0.905,0.459,32.118
LOT123,W01,12,-5,202,1,10,2026-04-22,25,1.103,0.480,51.169
LOT123,W01,13,-5,203,4,45,2026-04-22,25,1.068,0.524,64.674
LOT123,W01,-13,-4,204,1,10,2026-04-22,25,1.168,0.513,69.444
LOT123,W01,-12,-4,205,1,10,2026-04-22,25,1.092,0.468,59.596
LOT123,W01,-11,-4,206,1,10,2026-04-22,25,0.889,0.468,29.620
LOT123,W01,-10,-4,207,3,40,2026-04-22,25,1.066,0.499,48.463
LOT123,W01,-9,-4,208,1,10,2026-04-22,25,1.077,0.495,65.582
LOT123,W01,-8,-4,209,1,10,2026-04-22,25,0.968,0.478,60.430
LOT123,W01,-7,-4,210,3,40,2026-04-22,25,0.879,0.522,49.921
LOT123,W01,-6,-4,211,1,10,2026-04-22,25,1.063,0.453,73.350
LOT123,W01,-5,-4,212,1,10,2026-04-22,25,1.057,0.522,46.666
LOT123,W01,-4,-4,213,1,10,2026-04-22,25,1.269,0.501,49.814
LOT123,W01,-3,-4,214,1,10,2026-04-22,25,0.929,0.493,62.999
LOT123,W01,-2,-4,215,1,10,2026-04-22,25,1.072,0.475,47.953
LOT123,W01,-1,-4,216,1,10,2026-04-22,25,1.040,0.484,63.845
LOT123,W01,0,-4,217,3,40,2026-04-22,25,1.171,0.489,61.581
LOT123,W01,1,-4,218,1,10,2026-04-22,25,1.065,0.502,67.825
LOT123,W01,2,-4,219,3,40,2026-04-22,25,1.201,0.488,57.999
LOT123,W01,3,-4,220,1,10,2026-04-22,25,0.886,0.513,63.323
LOT123,W01,4,-4,221,1,10,2026-04-22,25,1.026,0.492,73.329
LOT123,W01,5,-4,222,1,10,2026-04-22,25,0.928,0.457,60.001
LOT123,W01,6,-4,223,1,10,2026-04-22,25,1.064,0.442,57.538
LOT123,W01,7,-4,224,1,10,2026-04-22,25,0.969,0.465,43.851
LOT123,W01,8,-4,225,1,10,2026-04-22,25,1.106,0.477,52.862
LOT123,W01,9,-4,226,1,10,2026-04-22,25,0.955,0.505,34.315
LOT123,W01,10,-4,227,1,10,2026-04-22,25,1.011,0.492,59.233
LOT123,W01,11,-4,228,2,20,2026-04-22,25,1.043,0.479,49.360
LOT123,W01,12,-4,229,1,10,2026-04-22,25,1.113,0.508,51.412
LOT123,W01,13,-4,230,1,10,2026-04-22,25,0.932,0.474,72.912
LOT123,W01,-14,-3,231,1,10,2026-04-22,25,0.974,0.468,34.446
LOT123,W01,-13,-3,232,2,20,2026-04-22,25,0.987,0.516,63.825
LOT123,W01,-12,-3,233,1,10,2026-04-22,25,1.229,0.495,73.651
LOT123,W01,-11,-3,234,1,10,2026-04-22,25,1.109,0.495,35.173
LOT123,W01,-10,-3,235,1,10,2026-04-22,25,0.891,0.535,64.528
LOT123,W01,-9,-3,236,1,10,2026-04-22,25,1.023,0.491,61.815
LOT123,W01,-8,-3,237,1,10,2026-04-22,25,1.150,0.485,66.050
LOT123,W01,-7,-3,238,1,10,2026-04-22,25,0.958,0.496,59.261
LOT123,W01,-6,-3,239,1,10,2026-04-22,25,1.073,0.522,70.059
LOT123,W01,-5,-3,240,1,10,2026-04-22,25,1.103,0.456,59.223
LOT123,W01,-4,-3,241,3,40,2026-04-22,25,0.993,0.525,40.967
LOT123,W01,-3,-3,242,1,10,2026-04-22,25,1.071,0.491,79.073
LOT123,W01,-2,-3,243,1,10,2026-04-22,25,1.141,0.499,48.698
LOT123,W01,-1,-3,244,3,40,2026-04-22,25,0.999,0.511,53.088
LOT123,W01,0,-3,245,1,10,2026-04-22,25,1.067,0.513,36.594
LOT123,W01,1,-3,246,1,10,2026-04-22,25,1.007,0.488,65.110
LOT123,W01,2,-3,247,1,10,2026-04-22,25,0.878,0.522,61.762
LOT123,W01,3,-3,248,1,10,2026-04-22,25,0.844,0.501,40.650
LOT123,W01,4,-3,249,1,10,2026-04-22,25,1.191,0.489,73.058
LOT123,W01,5,-3,250,1,10,2026-04-22,25,0.971,0.474,68.160
LOT123,W01,6,-3,251,1,10,2026-04-22,25,1.114,0.481,28.270
LOT123,W01,7,-3,252,1,10,2026-04-22,25,1.173,0.490,53.725
LOT123,W01,8,-3,253,1,10,2026-04-22,25,1.045,0.477,69.454
LOT123,W01,9,-3,254,1,10,2026-04-22,25,1.018,0.500,56.486
LOT123,W01,10,-3,255,4,45,2026-04-22,25,0.962,0.462,40.794
LOT123,W01,11,-3,256,1,10,2026-04-22,25,1.098,0.480,61.742
LOT123,W01,12,-3,257,1,10,2026-04-22,25,1.042,0.499,58.365
LOT123,W01,13,-3,258,1,10,2026-04-22,25,1.096,0.520,55.430
LOT123,W01,14,-3,259,1,10,2026-04-22,25,1.080,0.500,54.191
LOT123,W01,-14,-2,260,2,20,2026-04-22,25,0.991,0.515,50.371
LOT123,W01,-13,-2,261,1,10,2026-04-22,25,1.004,0.500,69.941
LOT123,W01,-12,-2,262,1,10,2026-04-22,25,0.965,0.472,58.608
LOT123,W01,-11,-2,263,1,10,2026-04-22,25,1.039,0.517,45.860
LOT123,W01,-10,-2,264,1,10,2026-04-22,25,0.897,0.512,60.015
LOT123,W01,-9,-2,265,1,10,2026-04-22,25,0.978,0.484,54.995
LOT123,W01,-8,-2,266,1,10,2026-04-22,25,0.952,0.450,65.451
LOT123,W01,-7,-2,267,1,10,2026-04-22,25,1.140,0.497,54.116
LOT123,W01,-6,-2,268,1,10,2026-04-22,25,1.198,0.495,84.930
LOT123,W01,-5,-2,269,1,10,2026-04-22,25,0.875,0.484,47.109
LOT123,W01,-4,-2,270,1,10,2026-04-22,25,0.923,0.508,40.661
LOT123,W01,-3,-2,271,1,10,2026-04-22,25,0.945,0.498,44.190
LOT123,W01,-2,-2,272,1,10,2026-04-22,25,1.136,0.457,61.090
LOT123,W01,-1,-2,273,2,20,2026-04-22,25,0.968,0.415,56.894
LOT123,W01,0,-2,274,1,10,2026-04-22,25,0.998,0.521,45.105
LOT123,W01,1,-2,275,4,45,2026-04-22,25,1.102,0.449,30.838
LOT123,W01,2,-2,276,1,10,2026-04-22,25,1.052,0.464,48.463
LOT123,W01,3,-2,277,1,10,2026-04-22,25,1.019,0.473,46.401
LOT123,W01,4,-2,278,1,10,2026-04-22,25,1.073,0.524,15.088
LOT123,W01,5,-2,279,1,10,2026-04-22,25,1.221,0.474,56.626
LOT123,W01,6,-2,280,1,10,2026-04-22,25,1.152,0.479,53.890
LOT123,W01,7,-2,281,1,10,2026-04-22,25,1.072,0.515,69.933
LOT123,W01,8,-2,282,1,10,2026-04-22,25,0.952,0.523,32.799
LOT123,W01,9,-2,283,1,10,2026-04-22,25,1.172,0.480,52.131
LOT123,W01,10,-2,284,3,40,2026-04-22,25,1.168,0.494,41.588
LOT123,W01,11,-2,285,1,10,2026-04-22,25,0.874,0.505,65.251
LOT123,W01,12,-2,286,1,10,2026-04-22,25,1.121,0.469,68.009
LOT123,W01,13,-2,287,1,10,2026-04-22,25,1.001,0.499,55.258
LOT123,W01,14,-2,288,1,10,2026-04-22,25,1.060,0.470,62.964
LOT123,W01,-14,-1,289,1,10,2026-04-22,25,1.271,0.484,57.118
LOT123,W01,-13,-1,290,2,20,2026-04-22,25,0.880,0.491,56.515
LOT123,W01,-12,-1,291,2,20,2026-04-22,25,1.164,0.488,60.164
LOT123,W01,-11,-1,292,1,10,2026-04-22,25,1.003,0.450,37.347
LOT123,W01,-10,-1,293,1,10,2026-04-22,25,1.207,0.471,53.072
LOT123,W01,-9,-1,294,1,10,2026-04-22,25,0.931,0.524,49.936
LOT123,W01,-8,-1,295,1,10,2026-04-22,25,0.989,0.528,44.948
LOT123,W01,-7,-1,296,1,10,2026-04-22,25,1.065,0.467,57.824
LOT123,W01,-6,-1,297,1,10,2026-04-22,25,0.954,0.485,73.626
LOT123,W01,-5,-1,298,1,10,2026-04-22,25,1.072,0.485,40.522
LOT123,W01,-4,-1,299,1,10,2026-04-22,25,0.927,0.484,55.399
LOT123,W01,-3,-1,300,1,10,2026-04-22,25,1.011,0.490,49.024
LOT123,W01,-2,-1,301,1,10,2026-04-22,25,1.032,0.455,68.944
LOT123,W01,-1,-1,302,1,10,2026-04-22,25,1.062,0.479,63.722
LOT123,W01,0,-1,303,1,10,2026-04-22,25,1.026,0.538,39.748
LOT123,W01,1,-1,304,2,20,2026-04-22,25,0.926,0.474,50.450
LOT123,W01,2,-1,305,1,10,2026-04-22,25,1.086,0.506,50.456
LOT123,W01,3,-1,306,1,10,2026-04-22,25,1.158,0.485,51.536
LOT123,W01,4,-1,307,1,10,2026-04-22,25,1.108,0.473,79.095
LOT123,W01,5,-1,308,1,10,2026-04-22,25,0.949,0.509,74.845
LOT123,W01,6,-1,309,1,10,2026-04-22,25,1.052,0.502,68.099
LOT123,W01,7,-1,310,1,10,2026-04-22,25,1.083,0.491,48.675
LOT123,W01,8,-1,311,3,40,2026-04-22,25,1.019,0.501,41.663
LOT123,W01,9,-1,312,3,40,2026-04-22,25,0.936,0.460,60.792
LOT123,W01,10,-1,313,2,20,2026-04-22,25,0.906,0.482,67.572
LOT123,W01,11,-1,314,2,20,2026-04-22,25,1.135,0.507,41.845
LOT123,W01,12,-1,315,1,10,2026-04-22,25,1.009,0.498,47.207
LOT123,W01,13,-1,316,1,10,2026-04-22,25,0.984,0.466,55.766
LOT123,W01,14,-1,317,1,10,2026-04-22,25,1.187,0.485,50.029
LOT123,W01,-14,0,318,1,10,2026-04-22,25,1.108,0.512,49.509
LOT123,W01,-13,0,319,3,40,2026-04-22,25,1.208,0.517,62.723
LOT123,W01,-12,0,320,1,10,2026-04-22,25,0.952,0.470,57.542
LOT123,W01,-11,0,321,2,20,2026-04-22,25,1.075,0.484,49.030
LOT123,W01,-10,0,322,1,10,2026-04-22,25,1.094,0.514,94.011
LOT123,W01,-9,0,323,1,10,2026-04-22,25,1.102,0.484,57.336
LOT123,W01,-8,0,324,2,20,2026-04-22,25,1.179,0.499,48.680
LOT123,W01,-7,0,325,4,45,2026-04-22,25,1.098,0.488,26.460
LOT123,W01,-6,0,326,1,10,2026-04-22,25,1.081,0.496,72.689
LOT123,W01,-5,0,327,1,10,2026-04-22,25,1.210,0.485,39.208
LOT123,W01,-4,0,328,1,10,2026-04-22,25,0.919,0.497,37.865
LOT123,W01,-3,0,329,1,10,2026-04-22,25,0.987,0.480,61.195
LOT123,W01,-2,0,330,4,45,2026-04-22,25,0.988,0.505,52.188
LOT123,W01,-1,0,331,1,10,2026-04-22,25,1.121,0.513,42.211
LOT123,W01,0,0,332,1,10,2026-04-22,25,1.001,0.501,45.922
LOT123,W01,1,0,333,1,10,2026-04-22,25,1.150,0.495,68.239
LOT123,W01,2,0,334,1,10,2026-04-22,25,1.058,0.512,56.338
LOT123,W01,3,0,335,1,10,2026-04-22,25,1.020,0.487,78.805
LOT123,W01,4,0,336,1,10,2026-04-22,25,1.090,0.494,65.193
LOT123,W01,5,0,337,1,10,2026-04-22,25,0.981,0.504,66.649
LOT123,W01,6,0,338,1,10,2026-04-22,25,0.823,0.449,56.675
LOT123,W01,7,0,339,1,10,2026-04-22,25,0.952,0.492,53.291
LOT123,W01,8,0,340,1,10,2026-04-22,25,1.077,0.510,60.205
LOT123,W01,9,0,341,1,10,2026-04-22,25,1.274,0.494,71.569
LOT123,W01,10,0,342,1,10,2026-04-22,25,0.934,0.465,95.096
LOT123,W01,11,0,343,1,10,2026-04-22,25,0.990,0.507,36.947
