lot_id,wafer_id,die_x,die_y,hard_bin,soft_bin,IDD_UA,VTH_V,BW_MHZ,CONTINUITY,VTH_FLAG
IMG-SENSOR-003,W01,2,-74,1,100,11.76,0.4279,474.2,P,P
IMG-SENSOR-003,W01,3,-74,1,100,11.79,0.4288,505.6,P,P
IMG-SENSOR-003,W01,4,-74,2,202,41.55,0.5513,362.4,F,P
IMG-SENSOR-003,W01,-4,-73,1,100,12.34,0.3979,471.2,P,P
IMG-SENSOR-003,W01,-3,-73,1,100,12.99,0.3867,478.5,P,P
IMG-SENSOR-003,W01,-2,-73,1,100,12.44,0.3982,484.0,P,P
IMG-SENSOR-003,W01,-1,-73,1,100,12.60,0.4017,489.5,P,P
IMG-SENSOR-003,W01,0,-73,3,202,39.08,0.5475,318.5,F,P
IMG-SENSOR-003,W01,1,-73,1,100,15.04,0.4012,493.2,P,P
IMG-SENSOR-003,W01,2,-73,1,100,13.32,0.4058,470.1,P,P
IMG-SENSOR-003,W01,3,-73,1,100,10.97,0.4030,474.7,P,P
IMG-SENSOR-003,W01,4,-73,3,302,66.35,0.5419,359.7,P,P
IMG-SENSOR-003,W01,-4,-72,1,100,11.93,0.3840,451.2,P,P
IMG-SENSOR-003,W01,-3,-72,1,100,12.28,0.3974,454.2,P,P
IMG-SENSOR-003,W01,-2,-72,1,100,13.14,0.3909,486.5,P,P
IMG-SENSOR-003,W01,-1,-72,1,100,11.72,0.4152,456.9,P,P
IMG-SENSOR-003,W01,0,-72,1,100,14.51,0.4165,486.3,P,P
IMG-SENSOR-003,W01,1,-72,1,100,13.18,0.4087,503.4,P,P
IMG-SENSOR-003,W01,2,-72,1,100,14.39,0.4082,489.1,P,P
IMG-SENSOR-003,W01,3,-72,1,100,11.25,0.4143,452.9,P,P
IMG-SENSOR-003,W01,4,-72,1,100,10.74,0.4190,490.1,P,P
IMG-SENSOR-003,W01,-5,-71,3,401,59.10,0.5156,293.5,F,P
IMG-SENSOR-003,W01,-4,-71,1,100,13.87,0.4019,445.2,P,P
IMG-SENSOR-003,W01,-3,-71,1,100,10.66,0.4050,504.4,P,P
IMG-SENSOR-003,W01,-2,-71,1,100,13.30,0.3946,442.8,P,P
IMG-SENSOR-003,W01,-1,-71,1,100,12.94,0.4109,487.7,P,P
IMG-SENSOR-003,W01,0,-71,1,100,9.70,0.3803,487.3,P,P
IMG-SENSOR-003,W01,1,-71,1,100,10.97,0.4264,481.8,P,P
IMG-SENSOR-003,W01,2,-71,1,100,12.89,0.4096,468.9,P,P
IMG-SENSOR-003,W01,3,-71,1,100,15.77,0.3968,524.8,P,P
IMG-SENSOR-003,W01,4,-71,1,100,12.90,0.4241,503.7,P,P
IMG-SENSOR-003,W01,5,-71,2,401,52.44,0.5771,275.0,F,P
IMG-SENSOR-003,W01,-5,-70,1,100,11.46,0.4122,495.7,P,P
IMG-SENSOR-003,W01,-4,-70,1,100,13.94,0.3836,502.1,P,P
IMG-SENSOR-003,W01,-3,-70,1,100,11.64,0.4072,445.9,P,P
IMG-SENSOR-003,W01,-2,-70,1,100,11.88,0.3835,478.9,P,P
IMG-SENSOR-003,W01,-1,-70,1,100,12.41,0.4412,483.9,P,P
IMG-SENSOR-003,W01,0,-70,1,100,13.11,0.4137,472.7,P,P
IMG-SENSOR-003,W01,1,-70,1,100,15.39,0.4038,464.2,P,P
IMG-SENSOR-003,W01,2,-70,1,100,10.56,0.4039,473.8,P,P
IMG-SENSOR-003,W01,3,-70,1,100,9.71,0.4357,487.2,P,P
IMG-SENSOR-003,W01,4,-70,1,100,12.85,0.4385,477.4,P,P
IMG-SENSOR-003,W01,5,-70,4,201,43.30,0.5549,300.0,F,P
IMG-SENSOR-003,W01,-5,-69,1,100,13.36,0.4055,483.5,P,P
IMG-SENSOR-003,W01,-4,-69,1,100,12.37,0.3881,475.2,P,P
IMG-SENSOR-003,W01,-3,-69,2,301,52.31,0.5411,300.3,P,P
IMG-SENSOR-003,W01,-2,-69,1,100,8.13,0.3919,484.4,P,P
IMG-SENSOR-003,W01,-1,-69,1,100,14.08,0.4240,478.0,P,P
IMG-SENSOR-003,W01,0,-69,1,100,11.76,0.3788,470.3,P,P
IMG-SENSOR-003,W01,1,-69,1,100,12.59,0.4335,491.2,P,P
IMG-SENSOR-003,W01,2,-69,1,100,15.49,0.4248,525.9,P,P
IMG-SENSOR-003,W01,3,-69,1,100,13.05,0.4007,472.8,P,P
IMG-SENSOR-003,W01,4,-69,1,100,13.76,0.4063,487.0,P,P
IMG-SENSOR-003,W01,5,-69,1,100,12.59,0.3970,495.5,P,P
IMG-SENSOR-003,W01,-6,-68,2,202,37.30,0.5618,281.7,P,P
IMG-SENSOR-003,W01,-5,-68,1,100,12.51,0.3946,470.8,P,P
IMG-SENSOR-003,W01,-4,-68,1,100,13.62,0.4055,467.8,P,P
IMG-SENSOR-003,W01,-3,-68,1,100,9.39,0.3748,503.5,P,P
IMG-SENSOR-003,W01,-2,-68,1,100,10.77,0.3863,452.1,P,P
IMG-SENSOR-003,W01,-1,-68,2,302,54.56,0.5265,302.5,P,P
IMG-SENSOR-003,W01,0,-68,1,100,14.66,0.4260,489.4,P,P
IMG-SENSOR-003,W01,1,-68,1,100,12.42,0.4257,461.9,P,P
IMG-SENSOR-003,W01,2,-68,1,100,13.28,0.4121,463.3,P,P
IMG-SENSOR-003,W01,3,-68,1,100,12.50,0.4035,463.6,P,P
IMG-SENSOR-003,W01,4,-68,1,100,11.29,0.4100,480.4,P,P
IMG-SENSOR-003,W01,5,-68,1,100,14.51,0.4269,476.1,P,P
IMG-SENSOR-003,W01,6,-68,1,100,12.93,0.4146,464.7,P,P
IMG-SENSOR-003,W01,-6,-67,1,100,14.71,0.4041,466.6,P,P
IMG-SENSOR-003,W01,-5,-67,1,100,10.17,0.4181,471.5,P,P
IMG-SENSOR-003,W01,-4,-67,1,100,8.45,0.4133,477.8,P,P
IMG-SENSOR-003,W01,-3,-67,4,202,38.03,0.5581,262.1,F,P
IMG-SENSOR-003,W01,-2,-67,1,100,12.39,0.4052,470.5,P,P
IMG-SENSOR-003,W01,-1,-67,1,100,12.62,0.4287,499.0,P,P
IMG-SENSOR-003,W01,0,-67,1,100,10.98,0.3992,488.2,P,P
IMG-SENSOR-003,W01,1,-67,1,100,9.57,0.4249,453.4,P,P
IMG-SENSOR-003,W01,2,-67,1,100,12.23,0.4252,499.9,P,P
IMG-SENSOR-003,W01,3,-67,1,100,11.68,0.4262,485.9,P,P
IMG-SENSOR-003,W01,4,-67,1,100,11.68,0.4279,475.3,P,P
IMG-SENSOR-003,W01,5,-67,1,100,9.32,0.4244,458.9,P,P
IMG-SENSOR-003,W01,6,-67,2,302,42.88,0.5693,304.2,P,P
IMG-SENSOR-003,W01,-6,-66,1,100,11.93,0.4077,498.2,P,P
IMG-SENSOR-003,W01,-5,-66,1,100,11.10,0.3898,507.0,P,P
IMG-SENSOR-003,W01,-4,-66,2,202,48.35,0.5279,280.5,F,P
IMG-SENSOR-003,W01,-3,-66,1,100,12.39,0.4302,485.6,P,P
IMG-SENSOR-003,W01,-2,-66,1,100,11.37,0.4016,451.1,P,P
IMG-SENSOR-003,W01,-1,-66,1,100,10.54,0.4175,456.8,P,P
IMG-SENSOR-003,W01,0,-66,1,100,13.08,0.4130,499.8,P,P
IMG-SENSOR-003,W01,1,-66,1,100,12.15,0.4265,469.2,P,P
IMG-SENSOR-003,W01,2,-66,1,100,11.82,0.4324,483.8,P,P
IMG-SENSOR-003,W01,3,-66,1,100,12.88,0.3894,460.9,P,P
IMG-SENSOR-003,W01,4,-66,1,100,13.64,0.4380,478.2,P,P
IMG-SENSOR-003,W01,5,-66,1,100,12.09,0.4109,485.7,P,P
IMG-SENSOR-003,W01,6,-66,4,201,43.67,0.5660,320.4,P,P
IMG-SENSOR-003,W01,-6,-65,1,100,9.46,0.4060,458.7,P,P
IMG-SENSOR-003,W01,-5,-65,1,100,12.94,0.4084,473.9,P,P
IMG-SENSOR-003,W01,-4,-65,1,100,15.14,0.4102,508.5,P,P
IMG-SENSOR-003,W01,-3,-65,1,100,13.93,0.4159,491.3,P,P
IMG-SENSOR-003,W01,-2,-65,1,100,10.49,0.4219,487.0,P,P
IMG-SENSOR-003,W01,-1,-65,1,100,10.52,0.4179,494.4,P,P
IMG-SENSOR-003,W01,0,-65,1,100,13.80,0.4314,482.7,P,P
IMG-SENSOR-003,W01,1,-65,1,100,12.97,0.4324,520.4,P,P
IMG-SENSOR-003,W01,2,-65,1,100,8.84,0.4527,495.7,P,P
IMG-SENSOR-003,W01,3,-65,1,100,13.89,0.4136,479.0,P,P
IMG-SENSOR-003,W01,4,-65,1,100,13.22,0.4302,488.2,P,P
IMG-SENSOR-003,W01,5,-65,1,100,12.41,0.4234,495.2,P,P
IMG-SENSOR-003,W01,6,-65,1,100,12.27,0.4168,487.9,P,P
IMG-SENSOR-003,W01,-6,-64,1,100,13.46,0.4197,502.3,P,P
IMG-SENSOR-003,W01,-5,-64,1,100,12.54,0.4003,500.1,P,P
IMG-SENSOR-003,W01,-4,-64,1,100,15.68,0.3861,473.5,P,P
IMG-SENSOR-003,W01,-3,-64,1,100,13.42,0.4137,521.1,P,P
IMG-SENSOR-003,W01,-2,-64,1,100,12.99,0.4107,436.3,P,P
IMG-SENSOR-003,W01,-1,-64,1,100,11.27,0.4101,479.2,P,P
IMG-SENSOR-003,W01,0,-64,1,100,12.59,0.4102,504.8,P,P
IMG-SENSOR-003,W01,1,-64,1,100,15.00,0.4237,494.0,P,P
IMG-SENSOR-003,W01,2,-64,1,100,12.14,0.4091,454.7,P,P
IMG-SENSOR-003,W01,3,-64,1,100,11.78,0.4144,481.8,P,P
IMG-SENSOR-003,W01,4,-64,1,100,12.30,0.4193,483.9,P,P
IMG-SENSOR-003,W01,5,-64,1,100,10.36,0.4629,448.2,P,P
IMG-SENSOR-003,W01,6,-64,1,100,14.47,0.4337,487.1,P,P
IMG-SENSOR-003,W01,-7,-63,2,302,40.86,0.5529,264.5,P,P
IMG-SENSOR-003,W01,-6,-63,1,100,10.29,0.4091,465.3,P,P
IMG-SENSOR-003,W01,-5,-63,1,100,11.32,0.3783,495.0,P,P
IMG-SENSOR-003,W01,-4,-63,1,100,11.27,0.4070,478.2,P,P
IMG-SENSOR-003,W01,-3,-63,1,100,11.23,0.4160,485.3,P,P
IMG-SENSOR-003,W01,-2,-63,1,100,10.06,0.4042,480.5,P,P
IMG-SENSOR-003,W01,-1,-63,1,100,13.91,0.4116,476.0,P,P
IMG-SENSOR-003,W01,0,-63,1,100,9.76,0.3886,504.5,P,P
IMG-SENSOR-003,W01,1,-63,1,100,11.27,0.4279,483.5,P,P
IMG-SENSOR-003,W01,2,-63,1,100,11.67,0.3983,489.9,P,P
IMG-SENSOR-003,W01,3,-63,1,100,9.93,0.4202,485.8,P,P
IMG-SENSOR-003,W01,4,-63,1,100,10.05,0.4134,473.4,P,P
IMG-SENSOR-003,W01,5,-63,1,100,10.96,0.4172,466.2,P,P
IMG-SENSOR-003,W01,6,-63,1,100,12.04,0.4327,475.5,P,P
IMG-SENSOR-003,W01,7,-63,1,100,14.09,0.4564,461.7,P,P
IMG-SENSOR-003,W01,-7,-62,3,201,54.51,0.5582,346.5,P,P
IMG-SENSOR-003,W01,-6,-62,1,100,13.06,0.4142,490.0,P,P
IMG-SENSOR-003,W01,-5,-62,1,100,12.11,0.4124,467.8,P,P
IMG-SENSOR-003,W01,-4,-62,1,100,12.92,0.4229,478.1,P,P
IMG-SENSOR-003,W01,-3,-62,1,100,14.70,0.4392,461.4,P,P
IMG-SENSOR-003,W01,-2,-62,1,100,14.15,0.4064,471.6,P,P
IMG-SENSOR-003,W01,-1,-62,1,100,10.04,0.4401,450.3,P,P
IMG-SENSOR-003,W01,0,-62,1,100,15.91,0.4122,488.9,P,P
IMG-SENSOR-003,W01,1,-62,1,100,12.60,0.4424,502.3,P,P
IMG-SENSOR-003,W01,2,-62,1,100,12.21,0.3986,508.4,P,P
IMG-SENSOR-003,W01,3,-62,1,100,12.63,0.4303,472.2,P,P
IMG-SENSOR-003,W01,4,-62,1,100,13.59,0.4065,485.0,P,P
IMG-SENSOR-003,W01,5,-62,1,100,14.12,0.4446,477.4,P,P
IMG-SENSOR-003,W01,6,-62,2,201,42.67,0.5559,322.8,P,P
IMG-SENSOR-003,W01,7,-62,1,100,12.81,0.4356,467.0,P,P
IMG-SENSOR-003,W01,-7,-61,2,301,56.07,0.5307,345.5,F,P
IMG-SENSOR-003,W01,-6,-61,1,100,10.15,0.3849,499.0,P,P
IMG-SENSOR-003,W01,-5,-61,1,100,17.17,0.4309,474.0,P,P
IMG-SENSOR-003,W01,-4,-61,1,100,12.21,0.4248,498.0,P,P
IMG-SENSOR-003,W01,-3,-61,1,100,12.35,0.4073,474.9,P,P
IMG-SENSOR-003,W01,-2,-61,1,100,11.55,0.4145,457.9,P,P
IMG-SENSOR-003,W01,-1,-61,1,100,11.83,0.4263,494.3,P,P
IMG-SENSOR-003,W01,0,-61,1,100,13.16,0.4119,485.2,P,P
IMG-SENSOR-003,W01,1,-61,1,100,9.44,0.4195,480.1,P,P
IMG-SENSOR-003,W01,2,-61,1,100,14.12,0.4474,496.4,P,P
IMG-SENSOR-003,W01,3,-61,1,100,14.03,0.4307,490.0,P,P
IMG-SENSOR-003,W01,4,-61,1,100,14.16,0.4188,487.9,P,P
IMG-SENSOR-003,W01,5,-61,1,100,9.38,0.4408,465.4,P,P
IMG-SENSOR-003,W01,6,-61,1,100,12.19,0.4452,515.4,P,P
IMG-SENSOR-003,W01,7,-61,4,202,46.79,0.5893,327.1,F,P
IMG-SENSOR-003,W01,-7,-60,1,100,12.27,0.3994,459.3,P,P
IMG-SENSOR-003,W01,-6,-60,1,100,9.28,0.4000,487.6,P,P
IMG-SENSOR-003,W01,-5,-60,1,100,17.96,0.4306,506.3,P,P
IMG-SENSOR-003,W01,-4,-60,1,100,12.28,0.4065,468.0,P,P
IMG-SENSOR-003,W01,-3,-60,1,100,13.03,0.4138,487.8,P,P
IMG-SENSOR-003,W01,-2,-60,1,100,13.97,0.4314,486.1,P,P
IMG-SENSOR-003,W01,-1,-60,1,100,11.39,0.4396,509.5,P,P
IMG-SENSOR-003,W01,0,-60,1,100,11.27,0.4555,476.1,P,P
IMG-SENSOR-003,W01,1,-60,1,100,13.19,0.4266,481.0,P,P
IMG-SENSOR-003,W01,2,-60,1,100,12.76,0.4114,503.4,P,P
IMG-SENSOR-003,W01,3,-60,1,100,13.13,0.4064,471.4,P,P
IMG-SENSOR-003,W01,4,-60,1,100,11.02,0.4314,461.4,P,P
IMG-SENSOR-003,W01,5,-60,1,100,13.04,0.4189,467.8,P,P
IMG-SENSOR-003,W01,6,-60,1,100,16.66,0.4046,463.5,P,P
IMG-SENSOR-003,W01,7,-60,1,100,16.18,0.4444,494.1,P,P
IMG-SENSOR-003,W01,-7,-59,1,100,12.30,0.4145,494.8,P,P
IMG-SENSOR-003,W01,-6,-59,1,100,11.56,0.3986,501.2,P,P
IMG-SENSOR-003,W01,-5,-59,1,100,11.84,0.4239,480.8,P,P
IMG-SENSOR-003,W01,-4,-59,1,100,8.75,0.4040,486.1,P,P
IMG-SENSOR-003,W01,-3,-59,1,100,12.34,0.4409,496.7,P,P
IMG-SENSOR-003,W01,-2,-59,1,100,12.10,0.4214,464.1,P,P
IMG-SENSOR-003,W01,-1,-59,1,100,10.87,0.3894,485.2,P,P
IMG-SENSOR-003,W01,0,-59,1,100,9.30,0.4195,460.7,P,P
IMG-SENSOR-003,W01,1,-59,1,100,9.98,0.4070,484.0,P,P
IMG-SENSOR-003,W01,2,-59,1,100,9.96,0.4355,467.6,P,P
IMG-SENSOR-003,W01,3,-59,1,100,15.55,0.4234,470.5,P,P
IMG-SENSOR-003,W01,4,-59,1,100,13.79,0.4364,479.0,P,P
IMG-SENSOR-003,W01,5,-59,1,100,12.98,0.4178,468.5,P,P
IMG-SENSOR-003,W01,6,-59,1,100,14.12,0.4554,475.6,P,P
IMG-SENSOR-003,W01,7,-59,1,100,12.18,0.4153,450.1,P,P
IMG-SENSOR-003,W01,-8,-58,1,100,13.27,0.4107,484.1,P,P
IMG-SENSOR-003,W01,-7,-58,1,100,12.84,0.4166,499.5,P,P
IMG-SENSOR-003,W01,-6,-58,1,100,11.06,0.3787,457.9,P,P
IMG-SENSOR-003,W01,-5,-58,1,100,13.69,0.4371,480.4,P,P
IMG-SENSOR-003,W01,-4,-58,1,100,12.03,0.4190,482.9,P,P
IMG-SENSOR-003,W01,-3,-58,1,100,13.41,0.4005,493.2,P,P
IMG-SENSOR-003,W01,-2,-58,1,100,12.70,0.4154,480.2,P,P
IMG-SENSOR-003,W01,-1,-58,1,100,14.03,0.4014,437.5,P,P
IMG-SENSOR-003,W01,0,-58,1,100,13.14,0.4265,440.6,P,P
IMG-SENSOR-003,W01,1,-58,1,100,10.19,0.4462,446.2,P,P
IMG-SENSOR-003,W01,2,-58,1,100,12.20,0.4257,456.0,P,P
IMG-SENSOR-003,W01,3,-58,1,100,12.95,0.4497,460.2,P,P
IMG-SENSOR-003,W01,4,-58,1,100,13.49,0.4204,459.2,P,P
IMG-SENSOR-003,W01,5,-58,1,100,13.74,0.4518,464.3,P,P
IMG-SENSOR-003,W01,6,-58,1,100,15.59,0.4419,486.6,P,P
IMG-SENSOR-003,W01,7,-58,1,100,13.68,0.4432,490.8,P,P
IMG-SENSOR-003,W01,8,-58,2,202,38.47,0.5682,319.8,F,P
IMG-SENSOR-003,W01,-8,-57,4,202,41.43,0.5356,313.7,F,P
IMG-SENSOR-003,W01,-7,-57,1,100,10.34,0.4113,483.2,P,P
IMG-SENSOR-003,W01,-6,-57,1,100,16.23,0.3980,503.8,P,P
IMG-SENSOR-003,W01,-5,-57,1,100,11.04,0.4185,480.6,P,P
IMG-SENSOR-003,W01,-4,-57,1,100,12.37,0.3994,481.0,P,P
IMG-SENSOR-003,W01,-3,-57,1,100,12.38,0.4304,444.0,P,P
IMG-SENSOR-003,W01,-2,-57,1,100,11.19,0.4075,465.4,P,P
IMG-SENSOR-003,W01,-1,-57,1,100,11.19,0.4159,465.8,P,P
IMG-SENSOR-003,W01,0,-57,1,100,13.18,0.4413,485.8,P,P
IMG-SENSOR-003,W01,1,-57,1,100,12.67,0.4285,462.3,P,P
IMG-SENSOR-003,W01,2,-57,1,100,8.05,0.4354,495.7,P,P
IMG-SENSOR-003,W01,3,-57,1,100,13.85,0.4080,493.1,P,P
IMG-SENSOR-003,W01,4,-57,1,100,13.49,0.4225,485.2,P,P
IMG-SENSOR-003,W01,5,-57,1,100,17.02,0.4329,495.6,P,P
IMG-SENSOR-003,W01,6,-57,1,100,12.87,0.4051,477.9,P,P
IMG-SENSOR-003,W01,7,-57,1,100,15.16,0.4712,460.9,P,P
IMG-SENSOR-003,W01,8,-57,3,202,39.16,0.5633,276.5,F,P
IMG-SENSOR-003,W01,-8,-56,1,100,13.35,0.3865,478.6,P,P
IMG-SENSOR-003,W01,-7,-56,1,100,12.43,0.4222,470.6,P,P
IMG-SENSOR-003,W01,-6,-56,1,100,12.72,0.4236,475.3,P,P
IMG-SENSOR-003,W01,-5,-56,1,100,13.31,0.4040,473.1,P,P
IMG-SENSOR-003,W01,-4,-56,1,100,14.06,0.4027,468.7,P,P
IMG-SENSOR-003,W01,-3,-56,1,100,12.43,0.4068,463.4,P,P
IMG-SENSOR-003,W01,-2,-56,1,100,13.08,0.4232,494.7,P,P
IMG-SENSOR-003,W01,-1,-56,1,100,10.31,0.4174,494.6,P,P
IMG-SENSOR-003,W01,0,-56,1,100,11.32,0.4298,473.8,P,P
IMG-SENSOR-003,W01,1,-56,1,100,12.03,0.4383,490.6,P,P
IMG-SENSOR-003,W01,2,-56,1,100,13.09,0.4309,475.7,P,P
IMG-SENSOR-003,W01,3,-56,1,100,15.41,0.4320,489.1,P,P
IMG-SENSOR-003,W01,4,-56,1,100,12.22,0.4205,491.0,P,P
IMG-SENSOR-003,W01,5,-56,1,100,12.13,0.4172,465.0,P,P
IMG-SENSOR-003,W01,6,-56,1,100,10.62,0.4314,528.7,P,P
IMG-SENSOR-003,W01,7,-56,1,100,15.87,0.4154,483.1,P,P
IMG-SENSOR-003,W01,8,-56,1,100,12.71,0.4552,497.3,P,P
IMG-SENSOR-003,W01,-8,-55,1,100,13.52,0.4183,494.3,P,P
IMG-SENSOR-003,W01,-7,-55,1,100,15.67,0.4189,498.4,P,P
IMG-SENSOR-003,W01,-6,-55,1,100,14.69,0.4003,450.3,P,P
IMG-SENSOR-003,W01,-5,-55,1,100,14.00,0.4221,492.3,P,P
IMG-SENSOR-003,W01,-4,-55,1,100,9.41,0.4438,505.1,P,P
IMG-SENSOR-003,W01,-3,-55,1,100,15.81,0.4090,483.3,P,P
IMG-SENSOR-003,W01,-2,-55,1,100,13.23,0.3990,475.1,P,P
IMG-SENSOR-003,W01,-1,-55,1,100,9.98,0.4185,492.1,P,P
IMG-SENSOR-003,W01,0,-55,1,100,14.96,0.4255,483.9,P,P
IMG-SENSOR-003,W01,1,-55,1,100,13.97,0.4338,492.6,P,P
IMG-SENSOR-003,W01,2,-55,1,100,12.16,0.4092,481.4,P,P
IMG-SENSOR-003,W01,3,-55,1,100,12.40,0.4431,492.7,P,P
IMG-SENSOR-003,W01,4,-55,1,100,10.15,0.4329,460.8,P,P
IMG-SENSOR-003,W01,5,-55,1,100,9.88,0.4531,510.8,P,P
IMG-SENSOR-003,W01,6,-55,3,201,44.68,0.5724,292.0,F,P
IMG-SENSOR-003,W01,7,-55,1,100,12.36,0.4411,484.7,P,P
IMG-SENSOR-003,W01,8,-55,1,100,12.31,0.4488,461.5,P,P
IMG-SENSOR-003,W01,-8,-54,1,100,13.12,0.4128,475.0,P,P
IMG-SENSOR-003,W01,-7,-54,1,100,14.08,0.3903,499.3,P,P
IMG-SENSOR-003,W01,-6,-54,1,100,16.08,0.3958,476.1,P,P
IMG-SENSOR-003,W01,-5,-54,1,100,11.75,0.4192,459.5,P,P
IMG-SENSOR-003,W01,-4,-54,1,100,12.59,0.4133,464.0,P,P
IMG-SENSOR-003,W01,-3,-54,1,100,12.13,0.4099,471.8,P,P
IMG-SENSOR-003,W01,-2,-54,1,100,12.47,0.4325,473.5,P,P
IMG-SENSOR-003,W01,-1,-54,1,100,14.01,0.4088,483.8,P,P
IMG-SENSOR-003,W01,0,-54,1,100,11.33,0.4192,484.6,P,P
IMG-SENSOR-003,W01,1,-54,1,100,13.87,0.4235,494.1,P,P
IMG-SENSOR-003,W01,2,-54,1,100,12.23,0.4482,467.3,P,P
IMG-SENSOR-003,W01,3,-54,1,100,9.83,0.4187,501.0,P,P
IMG-SENSOR-003,W01,4,-54,1,100,11.36,0.4378,479.1,P,P
IMG-SENSOR-003,W01,5,-54,1,100,11.90,0.4302,474.6,P,P
IMG-SENSOR-003,W01,6,-54,1,100,11.96,0.4262,494.9,P,P
IMG-SENSOR-003,W01,7,-54,1,100,12.21,0.4209,465.8,P,P
IMG-SENSOR-003,W01,8,-54,1,100,10.62,0.4551,490.9,P,P
IMG-SENSOR-003,W01,-8,-53,1,100,11.61,0.3894,480.9,P,P
IMG-SENSOR-003,W01,-7,-53,1,100,14.24,0.4177,463.2,P,P
IMG-SENSOR-003,W01,-6,-53,1,100,12.50,0.4178,485.8,P,P
IMG-SENSOR-003,W01,-5,-53,1,100,13.22,0.4573,504.0,P,P
IMG-SENSOR-003,W01,-4,-53,1,100,11.17,0.4336,467.0,P,P
IMG-SENSOR-003,W01,-3,-53,1,100,11.76,0.4245,492.2,P,P
IMG-SENSOR-003,W01,-2,-53,1,100,10.96,0.4247,467.6,P,P
IMG-SENSOR-003,W01,-1,-53,1,100,13.34,0.4203,468.6,P,P
IMG-SENSOR-003,W01,0,-53,1,100,12.58,0.4172,476.4,P,P
IMG-SENSOR-003,W01,1,-53,1,100,9.76,0.4271,481.9,P,P
IMG-SENSOR-003,W01,2,-53,1,100,13.32,0.4171,461.6,P,P
IMG-SENSOR-003,W01,3,-53,1,100,11.00,0.4239,485.3,P,P
IMG-SENSOR-003,W01,4,-53,1,100,10.68,0.4380,441.6,P,P
IMG-SENSOR-003,W01,5,-53,1,100,13.64,0.4386,474.1,P,P
IMG-SENSOR-003,W01,6,-53,1,100,11.24,0.4573,491.8,P,P
IMG-SENSOR-003,W01,7,-53,1,100,9.62,0.4391,475.4,P,P
IMG-SENSOR-003,W01,8,-53,1,100,12.25,0.4439,459.0,P,P
IMG-SENSOR-003,W01,-8,-52,1,100,11.68,0.3941,457.8,P,P
IMG-SENSOR-003,W01,-7,-52,1,100,11.54,0.4078,462.7,P,P
IMG-SENSOR-003,W01,-6,-52,1,100,16.83,0.4175,518.9,P,P
IMG-SENSOR-003,W01,-5,-52,1,100,10.11,0.4225,482.8,P,P
IMG-SENSOR-003,W01,-4,-52,1,100,12.01,0.4271,486.0,P,P
IMG-SENSOR-003,W01,-3,-52,1,100,13.43,0.4264,487.5,P,P
IMG-SENSOR-003,W01,-2,-52,1,100,13.56,0.4129,492.8,P,P
