LID,WID,COL,ROW,H_BIN,S_BIN
MEM-2025-LOT7,M01,3,-45,2,31
MEM-2025-LOT7,M01,4,-45,1,10
MEM-2025-LOT7,M01,5,-45,1,10
MEM-2025-LOT7,M01,6,-45,1,10
MEM-2025-LOT7,M01,7,-45,1,10
MEM-2025-LOT7,M01,8,-45,1,10
MEM-2025-LOT7,M01,9,-45,1,10
MEM-2025-LOT7,M01,10,-45,1,10
MEM-2025-LOT7,M01,11,-45,4,22
MEM-2025-LOT7,M01,12,-45,4,31
MEM-2025-LOT7,M01,-13,-44,3,30
MEM-2025-LOT7,M01,-12,-44,1,10
MEM-2025-LOT7,M01,-11,-44,1,10
MEM-2025-LOT7,M01,-10,-44,1,10
MEM-2025-LOT7,M01,-9,-44,2,31
MEM-2025-LOT7,M01,-8,-44,1,10
MEM-2025-LOT7,M01,-7,-44,1,10
MEM-2025-LOT7,M01,-6,-44,2,30
MEM-2025-LOT7,M01,-5,-44,1,10
MEM-2025-LOT7,M01,-4,-44,1,10
MEM-2025-LOT7,M01,-3,-44,2,22
MEM-2025-LOT7,M01,-2,-44,1,10
MEM-2025-LOT7,M01,-1,-44,3,21
MEM-2025-LOT7,M01,0,-44,1,10
MEM-2025-LOT7,M01,1,-44,1,10
MEM-2025-LOT7,M01,2,-44,2,20
MEM-2025-LOT7,M01,3,-44,1,10
MEM-2025-LOT7,M01,4,-44,3,22
MEM-2025-LOT7,M01,5,-44,1,10
MEM-2025-LOT7,M01,6,-44,4,22
MEM-2025-LOT7,M01,7,-44,1,10
MEM-2025-LOT7,M01,8,-44,2,20
MEM-2025-LOT7,M01,9,-44,1,10
MEM-2025-LOT7,M01,10,-44,1,10
MEM-2025-LOT7,M01,11,-44,1,10
MEM-2025-LOT7,M01,12,-44,4,31
MEM-2025-LOT7,M01,13,-44,1,10
MEM-2025-LOT7,M01,-14,-43,3,22
MEM-2025-LOT7,M01,-13,-43,2,21
MEM-2025-LOT7,M01,-12,-43,2,30
MEM-2025-LOT7,M01,-11,-43,1,10
MEM-2025-LOT7,M01,-10,-43,3,22
MEM-2025-LOT7,M01,-9,-43,1,10
MEM-2025-LOT7,M01,-8,-43,1,10
MEM-2025-LOT7,M01,-7,-43,3,30
MEM-2025-LOT7,M01,-6,-43,3,31
MEM-2025-LOT7,M01,-5,-43,2,20
MEM-2025-LOT7,M01,-4,-43,1,10
MEM-2025-LOT7,M01,-3,-43,1,10
MEM-2025-LOT7,M01,-2,-43,1,10
MEM-2025-LOT7,M01,-1,-43,1,10
MEM-2025-LOT7,M01,0,-43,1,10
MEM-2025-LOT7,M01,1,-43,1,10
MEM-2025-LOT7,M01,2,-43,1,10
MEM-2025-LOT7,M01,3,-43,1,10
MEM-2025-LOT7,M01,4,-43,1,10
MEM-2025-LOT7,M01,5,-43,1,10
MEM-2025-LOT7,M01,6,-43,1,10
MEM-2025-LOT7,M01,7,-43,1,10
MEM-2025-LOT7,M01,8,-43,4,30
MEM-2025-LOT7,M01,9,-43,2,30
MEM-2025-LOT7,M01,10,-43,1,10
MEM-2025-LOT7,M01,11,-43,1,10
MEM-2025-LOT7,M01,12,-43,3,21
MEM-2025-LOT7,M01,13,-43,4,30
MEM-2025-LOT7,M01,14,-43,2,31
MEM-2025-LOT7,M01,-16,-42,1,10
MEM-2025-LOT7,M01,-15,-42,1,10
MEM-2025-LOT7,M01,-14,-42,1,10
MEM-2025-LOT7,M01,-13,-42,3,31
MEM-2025-LOT7,M01,-12,-42,1,10
MEM-2025-LOT7,M01,-11,-42,2,31
MEM-2025-LOT7,M01,-10,-42,1,10
MEM-2025-LOT7,M01,-9,-42,1,10
MEM-2025-LOT7,M01,-8,-42,3,20
MEM-2025-LOT7,M01,-7,-42,2,31
MEM-2025-LOT7,M01,-6,-42,1,10
MEM-2025-LOT7,M01,-5,-42,1,10
MEM-2025-LOT7,M01,-4,-42,2,22
MEM-2025-LOT7,M01,-3,-42,2,21
MEM-2025-LOT7,M01,-2,-42,4,22
MEM-2025-LOT7,M01,-1,-42,1,10
MEM-2025-LOT7,M01,0,-42,4,22
MEM-2025-LOT7,M01,1,-42,1,10
MEM-2025-LOT7,M01,2,-42,2,20
MEM-2025-LOT7,M01,3,-42,3,22
MEM-2025-LOT7,M01,4,-42,2,21
MEM-2025-LOT7,M01,5,-42,1,10
MEM-2025-LOT7,M01,6,-42,1,10
MEM-2025-LOT7,M01,7,-42,2,22
MEM-2025-LOT7,M01,8,-42,1,10
MEM-2025-LOT7,M01,9,-42,2,22
MEM-2025-LOT7,M01,10,-42,4,21
MEM-2025-LOT7,M01,11,-42,2,30
MEM-2025-LOT7,M01,12,-42,2,31
MEM-2025-LOT7,M01,13,-42,1,10
MEM-2025-LOT7,M01,14,-42,1,10
MEM-2025-LOT7,M01,15,-42,3,22
MEM-2025-LOT7,M01,16,-42,3,20
MEM-2025-LOT7,M01,-17,-41,1,10
MEM-2025-LOT7,M01,-16,-41,1,10
MEM-2025-LOT7,M01,-15,-41,1,10
MEM-2025-LOT7,M01,-14,-41,1,10
MEM-2025-LOT7,M01,-13,-41,2,20
MEM-2025-LOT7,M01,-12,-41,1,10
MEM-2025-LOT7,M01,-11,-41,2,21
MEM-2025-LOT7,M01,-10,-41,2,30
MEM-2025-LOT7,M01,-9,-41,4,22
MEM-2025-LOT7,M01,-8,-41,2,21
MEM-2025-LOT7,M01,-7,-41,1,10
MEM-2025-LOT7,M01,-6,-41,1,10
MEM-2025-LOT7,M01,-5,-41,4,21
MEM-2025-LOT7,M01,-4,-41,1,10
MEM-2025-LOT7,M01,-3,-41,1,10
MEM-2025-LOT7,M01,-2,-41,2,21
MEM-2025-LOT7,M01,-1,-41,1,10
MEM-2025-LOT7,M01,0,-41,1,10
MEM-2025-LOT7,M01,1,-41,1,10
MEM-2025-LOT7,M01,2,-41,1,10
MEM-2025-LOT7,M01,3,-41,1,10
MEM-2025-LOT7,M01,4,-41,2,21
MEM-2025-LOT7,M01,5,-41,1,10
MEM-2025-LOT7,M01,6,-41,1,10
MEM-2025-LOT7,M01,7,-41,1,10
MEM-2025-LOT7,M01,8,-41,1,10
MEM-2025-LOT7,M01,9,-41,1,10
MEM-2025-LOT7,M01,10,-41,2,31
MEM-2025-LOT7,M01,11,-41,2,31
MEM-2025-LOT7,M01,12,-41,2,20
MEM-2025-LOT7,M01,13,-41,1,10
MEM-2025-LOT7,M01,14,-41,1,10
MEM-2025-LOT7,M01,15,-41,2,31
MEM-2025-LOT7,M01,16,-41,2,30
MEM-2025-LOT7,M01,17,-41,4,31
MEM-2025-LOT7,M01,-18,-40,1,10
MEM-2025-LOT7,M01,-17,-40,3,30
MEM-2025-LOT7,M01,-16,-40,2,31
MEM-2025-LOT7,M01,-15,-40,1,10
MEM-2025-LOT7,M01,-14,-40,2,22
MEM-2025-LOT7,M01,-13,-40,1,10
MEM-2025-LOT7,M01,-12,-40,1,10
MEM-2025-LOT7,M01,-11,-40,2,22
MEM-2025-LOT7,M01,-10,-40,4,22
MEM-2025-LOT7,M01,-9,-40,2,21
MEM-2025-LOT7,M01,-8,-40,2,20
MEM-2025-LOT7,M01,-7,-40,1,10
MEM-2025-LOT7,M01,-6,-40,1,10
MEM-2025-LOT7,M01,-5,-40,1,10
MEM-2025-LOT7,M01,-4,-40,1,10
MEM-2025-LOT7,M01,-3,-40,1,10
MEM-2025-LOT7,M01,-2,-40,1,10
MEM-2025-LOT7,M01,-1,-40,1,10
MEM-2025-LOT7,M01,0,-40,1,10
MEM-2025-LOT7,M01,1,-40,1,10
MEM-2025-LOT7,M01,2,-40,1,10
MEM-2025-LOT7,M01,3,-40,1,10
MEM-2025-LOT7,M01,4,-40,1,10
MEM-2025-LOT7,M01,5,-40,1,10
MEM-2025-LOT7,M01,6,-40,1,10
MEM-2025-LOT7,M01,7,-40,3,21
MEM-2025-LOT7,M01,8,-40,1,10
MEM-2025-LOT7,M01,9,-40,3,20
MEM-2025-LOT7,M01,10,-40,1,10
MEM-2025-LOT7,M01,11,-40,1,10
MEM-2025-LOT7,M01,12,-40,4,21
MEM-2025-LOT7,M01,13,-40,1,10
MEM-2025-LOT7,M01,14,-40,1,10
MEM-2025-LOT7,M01,15,-40,4,22
MEM-2025-LOT7,M01,16,-40,2,21
MEM-2025-LOT7,M01,17,-40,2,31
MEM-2025-LOT7,M01,18,-40,3,20
MEM-2025-LOT7,M01,-19,-39,3,21
MEM-2025-LOT7,M01,-18,-39,1,10
MEM-2025-LOT7,M01,-17,-39,1,10
MEM-2025-LOT7,M01,-16,-39,1,10
MEM-2025-LOT7,M01,-15,-39,2,21
MEM-2025-LOT7,M01,-14,-39,1,10
MEM-2025-LOT7,M01,-13,-39,1,10
MEM-2025-LOT7,M01,-12,-39,2,21
MEM-2025-LOT7,M01,-11,-39,3,20
MEM-2025-LOT7,M01,-10,-39,2,20
MEM-2025-LOT7,M01,-9,-39,2,21
MEM-2025-LOT7,M01,-8,-39,1,10
MEM-2025-LOT7,M01,-7,-39,1,10
MEM-2025-LOT7,M01,-6,-39,1,10
MEM-2025-LOT7,M01,-5,-39,1,10
MEM-2025-LOT7,M01,-4,-39,1,10
MEM-2025-LOT7,M01,-3,-39,1,10
MEM-2025-LOT7,M01,-2,-39,1,10
MEM-2025-LOT7,M01,-1,-39,1,10
MEM-2025-LOT7,M01,0,-39,1,10
MEM-2025-LOT7,M01,1,-39,1,10
MEM-2025-LOT7,M01,2,-39,1,10
MEM-2025-LOT7,M01,3,-39,1,10
MEM-2025-LOT7,M01,4,-39,1,10
MEM-2025-LOT7,M01,5,-39,1,10
MEM-2025-LOT7,M01,6,-39,1,10
MEM-2025-LOT7,M01,7,-39,1,10
MEM-2025-LOT7,M01,8,-39,1,10
MEM-2025-LOT7,M01,9,-39,1,10
MEM-2025-LOT7,M01,10,-39,1,10
MEM-2025-LOT7,M01,11,-39,2,21
MEM-2025-LOT7,M01,12,-39,4,22
MEM-2025-LOT7,M01,13,-39,3,21
MEM-2025-LOT7,M01,14,-39,1,10
MEM-2025-LOT7,M01,15,-39,1,10
MEM-2025-LOT7,M01,16,-39,4,31
MEM-2025-LOT7,M01,17,-39,2,22
MEM-2025-LOT7,M01,18,-39,1,10
MEM-2025-LOT7,M01,19,-39,2,21
MEM-2025-LOT7,M01,-20,-38,2,30
MEM-2025-LOT7,M01,-19,-38,1,10
MEM-2025-LOT7,M01,-18,-38,1,10
MEM-2025-LOT7,M01,-17,-38,1,10
MEM-2025-LOT7,M01,-16,-38,1,10
MEM-2025-LOT7,M01,-15,-38,2,21
MEM-2025-LOT7,M01,-14,-38,3,31
MEM-2025-LOT7,M01,-13,-38,1,10
MEM-2025-LOT7,M01,-12,-38,2,31
MEM-2025-LOT7,M01,-11,-38,2,21
MEM-2025-LOT7,M01,-10,-38,1,10
MEM-2025-LOT7,M01,-9,-38,1,10
MEM-2025-LOT7,M01,-8,-38,1,10
MEM-2025-LOT7,M01,-7,-38,1,10
MEM-2025-LOT7,M01,-6,-38,1,10
MEM-2025-LOT7,M01,-5,-38,1,10
MEM-2025-LOT7,M01,-4,-38,1,10
MEM-2025-LOT7,M01,-3,-38,1,10
MEM-2025-LOT7,M01,-2,-38,1,10
MEM-2025-LOT7,M01,-1,-38,1,10
MEM-2025-LOT7,M01,0,-38,1,10
MEM-2025-LOT7,M01,1,-38,1,10
MEM-2025-LOT7,M01,2,-38,1,10
MEM-2025-LOT7,M01,3,-38,1,10
MEM-2025-LOT7,M01,4,-38,1,10
MEM-2025-LOT7,M01,5,-38,1,10
MEM-2025-LOT7,M01,6,-38,1,10
MEM-2025-LOT7,M01,7,-38,1,10
MEM-2025-LOT7,M01,8,-38,1,10
MEM-2025-LOT7,M01,9,-38,1,10
MEM-2025-LOT7,M01,10,-38,1,10
MEM-2025-LOT7,M01,11,-38,1,10
MEM-2025-LOT7,M01,12,-38,1,10
MEM-2025-LOT7,M01,13,-38,2,31
MEM-2025-LOT7,M01,14,-38,4,20
MEM-2025-LOT7,M01,15,-38,1,10
MEM-2025-LOT7,M01,16,-38,1,10
MEM-2025-LOT7,M01,17,-38,1,10
MEM-2025-LOT7,M01,18,-38,1,10
MEM-2025-LOT7,M01,19,-38,1,10
MEM-2025-LOT7,M01,20,-38,1,10
MEM-2025-LOT7,M01,-20,-37,3,31
MEM-2025-LOT7,M01,-19,-37,4,21
MEM-2025-LOT7,M01,-18,-37,3,20
MEM-2025-LOT7,M01,-17,-37,2,21
MEM-2025-LOT7,M01,-16,-37,1,10
MEM-2025-LOT7,M01,-15,-37,4,22
MEM-2025-LOT7,M01,-14,-37,1,10
MEM-2025-LOT7,M01,-13,-37,1,10
MEM-2025-LOT7,M01,-12,-37,1,10
MEM-2025-LOT7,M01,-11,-37,1,10
MEM-2025-LOT7,M01,-10,-37,1,10
MEM-2025-LOT7,M01,-9,-37,1,10
MEM-2025-LOT7,M01,-8,-37,1,10
MEM-2025-LOT7,M01,-7,-37,1,10
MEM-2025-LOT7,M01,-6,-37,1,10
MEM-2025-LOT7,M01,-5,-37,1,10
MEM-2025-LOT7,M01,-4,-37,1,10
MEM-2025-LOT7,M01,-3,-37,1,10
MEM-2025-LOT7,M01,-2,-37,1,10
MEM-2025-LOT7,M01,-1,-37,1,10
MEM-2025-LOT7,M01,0,-37,1,10
MEM-2025-LOT7,M01,1,-37,1,10
MEM-2025-LOT7,M01,2,-37,1,10
MEM-2025-LOT7,M01,3,-37,1,10
MEM-2025-LOT7,M01,4,-37,1,10
MEM-2025-LOT7,M01,5,-37,1,10
MEM-2025-LOT7,M01,6,-37,1,10
MEM-2025-LOT7,M01,7,-37,1,10
MEM-2025-LOT7,M01,8,-37,1,10
MEM-2025-LOT7,M01,9,-37,1,10
MEM-2025-LOT7,M01,10,-37,1,10
MEM-2025-LOT7,M01,11,-37,1,10
MEM-2025-LOT7,M01,12,-37,1,10
MEM-2025-LOT7,M01,13,-37,3,20
MEM-2025-LOT7,M01,14,-37,1,10
MEM-2025-LOT7,M01,15,-37,2,20
MEM-2025-LOT7,M01,16,-37,2,21
MEM-2025-LOT7,M01,17,-37,1,10
MEM-2025-LOT7,M01,18,-37,2,22
MEM-2025-LOT7,M01,19,-37,2,30
MEM-2025-LOT7,M01,20,-37,4,31
MEM-2025-LOT7,M01,-21,-36,4,30
MEM-2025-LOT7,M01,-20,-36,1,10
MEM-2025-LOT7,M01,-19,-36,2,31
MEM-2025-LOT7,M01,-18,-36,1,10
MEM-2025-LOT7,M01,-17,-36,1,10
MEM-2025-LOT7,M01,-16,-36,4,20
MEM-2025-LOT7,M01,-15,-36,1,10
MEM-2025-LOT7,M01,-14,-36,3,22
MEM-2025-LOT7,M01,-13,-36,1,10
MEM-2025-LOT7,M01,-12,-36,1,10
MEM-2025-LOT7,M01,-11,-36,1,10
MEM-2025-LOT7,M01,-10,-36,1,10
MEM-2025-LOT7,M01,-9,-36,1,10
MEM-2025-LOT7,M01,-8,-36,1,10
MEM-2025-LOT7,M01,-7,-36,1,10
MEM-2025-LOT7,M01,-6,-36,1,10
MEM-2025-LOT7,M01,-5,-36,1,10
MEM-2025-LOT7,M01,-4,-36,1,10
MEM-2025-LOT7,M01,-3,-36,1,10
MEM-2025-LOT7,M01,-2,-36,1,10
MEM-2025-LOT7,M01,-1,-36,1,10
MEM-2025-LOT7,M01,0,-36,1,10
MEM-2025-LOT7,M01,1,-36,1,10
MEM-2025-LOT7,M01,2,-36,1,10
MEM-2025-LOT7,M01,3,-36,1,10
MEM-2025-LOT7,M01,4,-36,1,10
MEM-2025-LOT7,M01,5,-36,1,10
MEM-2025-LOT7,M01,6,-36,1,10
MEM-2025-LOT7,M01,7,-36,1,10
MEM-2025-LOT7,M01,8,-36,1,10
MEM-2025-LOT7,M01,9,-36,1,10
MEM-2025-LOT7,M01,10,-36,1,10
MEM-2025-LOT7,M01,11,-36,1,10
MEM-2025-LOT7,M01,12,-36,1,10
MEM-2025-LOT7,M01,13,-36,1,10
MEM-2025-LOT7,M01,14,-36,3,30
MEM-2025-LOT7,M01,15,-36,1,10
MEM-2025-LOT7,M01,16,-36,1,10
MEM-2025-LOT7,M01,17,-36,4,21
MEM-2025-LOT7,M01,18,-36,2,20
MEM-2025-LOT7,M01,19,-36,3,20
MEM-2025-LOT7,M01,20,-36,1,10
MEM-2025-LOT7,M01,21,-36,3,21
MEM-2025-LOT7,M01,-22,-35,1,10
MEM-2025-LOT7,M01,-21,-35,2,20
MEM-2025-LOT7,M01,-20,-35,4,30
MEM-2025-LOT7,M01,-19,-35,2,21
MEM-2025-LOT7,M01,-18,-35,1,10
MEM-2025-LOT7,M01,-17,-35,1,10
MEM-2025-LOT7,M01,-16,-35,1,10
MEM-2025-LOT7,M01,-15,-35,2,20
MEM-2025-LOT7,M01,-14,-35,1,10
MEM-2025-LOT7,M01,-13,-35,1,10
MEM-2025-LOT7,M01,-12,-35,1,10
MEM-2025-LOT7,M01,-11,-35,1,10
MEM-2025-LOT7,M01,-10,-35,1,10
MEM-2025-LOT7,M01,-9,-35,1,10
MEM-2025-LOT7,M01,-8,-35,1,10
MEM-2025-LOT7,M01,-7,-35,1,10
MEM-2025-LOT7,M01,-6,-35,1,10
MEM-2025-LOT7,M01,-5,-35,1,10
MEM-2025-LOT7,M01,-4,-35,1,10
MEM-2025-LOT7,M01,-3,-35,1,10
MEM-2025-LOT7,M01,-2,-35,1,10
MEM-2025-LOT7,M01,-1,-35,1,10
MEM-2025-LOT7,M01,0,-35,1,10
MEM-2025-LOT7,M01,1,-35,1,10
MEM-2025-LOT7,M01,2,-35,1,10
MEM-2025-LOT7,M01,3,-35,1,10
MEM-2025-LOT7,M01,4,-35,1,10
MEM-2025-LOT7,M01,5,-35,1,10
MEM-2025-LOT7,M01,6,-35,1,10
MEM-2025-LOT7,M01,7,-35,1,10
MEM-2025-LOT7,M01,8,-35,1,10
MEM-2025-LOT7,M01,9,-35,1,10
MEM-2025-LOT7,M01,10,-35,1,10
MEM-2025-LOT7,M01,11,-35,1,10
MEM-2025-LOT7,M01,12,-35,1,10
MEM-2025-LOT7,M01,13,-35,2,21
MEM-2025-LOT7,M01,14,-35,1,10
MEM-2025-LOT7,M01,15,-35,2,30
MEM-2025-LOT7,M01,16,-35,4,31
MEM-2025-LOT7,M01,17,-35,1,10
MEM-2025-LOT7,M01,18,-35,2,22
MEM-2025-LOT7,M01,19,-35,1,10
MEM-2025-LOT7,M01,20,-35,1,10
MEM-2025-LOT7,M01,21,-35,2,30
MEM-2025-LOT7,M01,22,-35,1,10
MEM-2025-LOT7,M01,-23,-34,1,10
MEM-2025-LOT7,M01,-22,-34,1,10
MEM-2025-LOT7,M01,-21,-34,4,31
MEM-2025-LOT7,M01,-20,-34,1,10
MEM-2025-LOT7,M01,-19,-34,1,10
MEM-2025-LOT7,M01,-18,-34,4,22
MEM-2025-LOT7,M01,-17,-34,4,22
MEM-2025-LOT7,M01,-16,-34,1,10
MEM-2025-LOT7,M01,-15,-34,1,10
MEM-2025-LOT7,M01,-14,-34,1,10
MEM-2025-LOT7,M01,-13,-34,1,10
MEM-2025-LOT7,M01,-12,-34,1,10
MEM-2025-LOT7,M01,-11,-34,1,10
MEM-2025-LOT7,M01,-10,-34,1,10
MEM-2025-LOT7,M01,-9,-34,1,10
MEM-2025-LOT7,M01,-8,-34,1,10
MEM-2025-LOT7,M01,-7,-34,1,10
MEM-2025-LOT7,M01,-6,-34,1,10
MEM-2025-LOT7,M01,-5,-34,1,10
MEM-2025-LOT7,M01,-4,-34,1,10
MEM-2025-LOT7,M01,-3,-34,1,10
MEM-2025-LOT7,M01,-2,-34,1,10
MEM-2025-LOT7,M01,-1,-34,1,10
MEM-2025-LOT7,M01,0,-34,1,10
MEM-2025-LOT7,M01,1,-34,1,10
MEM-2025-LOT7,M01,2,-34,1,10
MEM-2025-LOT7,M01,3,-34,1,10
MEM-2025-LOT7,M01,4,-34,1,10
MEM-2025-LOT7,M01,5,-34,1,10
MEM-2025-LOT7,M01,6,-34,1,10
MEM-2025-LOT7,M01,7,-34,1,10
MEM-2025-LOT7,M01,8,-34,1,10
MEM-2025-LOT7,M01,9,-34,1,10
MEM-2025-LOT7,M01,10,-34,1,10
MEM-2025-LOT7,M01,11,-34,1,10
MEM-2025-LOT7,M01,12,-34,1,10
MEM-2025-LOT7,M01,13,-34,1,10
MEM-2025-LOT7,M01,14,-34,1,10
MEM-2025-LOT7,M01,15,-34,1,10
MEM-2025-LOT7,M01,16,-34,1,10
MEM-2025-LOT7,M01,17,-34,1,10
MEM-2025-LOT7,M01,18,-34,4,20
MEM-2025-LOT7,M01,19,-34,1,10
MEM-2025-LOT7,M01,20,-34,1,10
MEM-2025-LOT7,M01,21,-34,1,10
MEM-2025-LOT7,M01,22,-34,1,10
MEM-2025-LOT7,M01,23,-34,1,10
MEM-2025-LOT7,M01,-23,-33,2,31
MEM-2025-LOT7,M01,-22,-33,1,10
MEM-2025-LOT7,M01,-21,-33,1,10
MEM-2025-LOT7,M01,-20,-33,4,30
MEM-2025-LOT7,M01,-19,-33,1,10
MEM-2025-LOT7,M01,-18,-33,2,30
MEM-2025-LOT7,M01,-17,-33,2,20
MEM-2025-LOT7,M01,-16,-33,1,10
MEM-2025-LOT7,M01,-15,-33,1,10
MEM-2025-LOT7,M01,-14,-33,1,10
MEM-2025-LOT7,M01,-13,-33,1,10
MEM-2025-LOT7,M01,-12,-33,1,10
MEM-2025-LOT7,M01,-11,-33,1,10
MEM-2025-LOT7,M01,-10,-33,1,10
MEM-2025-LOT7,M01,-9,-33,1,10
MEM-2025-LOT7,M01,-8,-33,1,10
MEM-2025-LOT7,M01,-7,-33,1,10
MEM-2025-LOT7,M01,-6,-33,1,10
MEM-2025-LOT7,M01,-5,-33,1,10
MEM-2025-LOT7,M01,-4,-33,1,10
MEM-2025-LOT7,M01,-3,-33,1,10
MEM-2025-LOT7,M01,-2,-33,1,10
MEM-2025-LOT7,M01,-1,-33,1,10
MEM-2025-LOT7,M01,0,-33,1,10
MEM-2025-LOT7,M01,1,-33,1,10
MEM-2025-LOT7,M01,2,-33,1,10
MEM-2025-LOT7,M01,3,-33,1,10
MEM-2025-LOT7,M01,4,-33,1,10
MEM-2025-LOT7,M01,5,-33,1,10
MEM-2025-LOT7,M01,6,-33,1,10
MEM-2025-LOT7,M01,7,-33,1,10
MEM-2025-LOT7,M01,8,-33,1,10
MEM-2025-LOT7,M01,9,-33,1,10
MEM-2025-LOT7,M01,10,-33,1,10
MEM-2025-LOT7,M01,11,-33,1,10
MEM-2025-LOT7,M01,12,-33,1,10
MEM-2025-LOT7,M01,13,-33,1,10
MEM-2025-LOT7,M01,14,-33,1,10
MEM-2025-LOT7,M01,15,-33,1,10
MEM-2025-LOT7,M01,16,-33,1,10
MEM-2025-LOT7,M01,17,-33,2,31
MEM-2025-LOT7,M01,18,-33,1,10
MEM-2025-LOT7,M01,19,-33,1,10
MEM-2025-LOT7,M01,20,-33,1,10
MEM-2025-LOT7,M01,21,-33,4,30
MEM-2025-LOT7,M01,22,-33,1,10
MEM-2025-LOT7,M01,23,-33,2,22
MEM-2025-LOT7,M01,-24,-32,4,20
MEM-2025-LOT7,M01,-23,-32,1,10
MEM-2025-LOT7,M01,-22,-32,1,10
MEM-2025-LOT7,M01,-21,-32,2,22
MEM-2025-LOT7,M01,-20,-32,1,10
MEM-2025-LOT7,M01,-19,-32,3,31
MEM-2025-LOT7,M01,-18,-32,1,10
MEM-2025-LOT7,M01,-17,-32,1,10
MEM-2025-LOT7,M01,-16,-32,1,10
MEM-2025-LOT7,M01,-15,-32,1,10
MEM-2025-LOT7,M01,-14,-32,1,10
MEM-2025-LOT7,M01,-13,-32,1,10
MEM-2025-LOT7,M01,-12,-32,1,10
MEM-2025-LOT7,M01,-11,-32,1,10
MEM-2025-LOT7,M01,-10,-32,1,10
MEM-2025-LOT7,M01,-9,-32,1,10
MEM-2025-LOT7,M01,-8,-32,1,10
MEM-2025-LOT7,M01,-7,-32,1,10
MEM-2025-LOT7,M01,-6,-32,1,10
MEM-2025-LOT7,M01,-5,-32,1,10
MEM-2025-LOT7,M01,-4,-32,1,10
MEM-2025-LOT7,M01,-3,-32,1,10
MEM-2025-LOT7,M01,-2,-32,1,10
MEM-2025-LOT7,M01,-1,-32,1,10
MEM-2025-LOT7,M01,0,-32,1,10
MEM-2025-LOT7,M01,1,-32,1,10
MEM-2025-LOT7,M01,2,-32,1,10
MEM-2025-LOT7,M01,3,-32,1,10
MEM-2025-LOT7,M01,4,-32,1,10
MEM-2025-LOT7,M01,5,-32,1,10
MEM-2025-LOT7,M01,6,-32,1,10
MEM-2025-LOT7,M01,7,-32,1,10
MEM-2025-LOT7,M01,8,-32,1,10
MEM-2025-LOT7,M01,9,-32,1,10
MEM-2025-LOT7,M01,10,-32,4,20
