lot,wafer,x,y,hbin,sbin,testdate,temp,testA,testB,testC
LOT123,W01,-8,-4,1,10,2026-04-22,25,1.108,0.517,39.291
LOT123,W01,-8,-3,3,40,2026-04-22,25,1.072,0.513,36.997
LOT123,W01,-8,-2,2,20,2026-04-22,25,1.156,0.497,35.143
LOT123,W01,-8,-1,1,10,2026-04-22,25,1.233,0.517,30.038
LOT123,W01,-8,0,1,10,2026-04-22,25,1.099,0.517,30.288
LOT123,W01,-8,1,1,10,2026-04-22,25,1.143,0.501,33.083
LOT123,W01,-8,2,1,10,2026-04-22,25,1.225,0.515,35.901
LOT123,W01,-8,3,1,10,2026-04-22,25,1.189,0.514,42.494
LOT123,W01,-8,4,1,10,2026-04-22,25,1.123,0.526,50.857
LOT123,W01,-8,5,2,20,2026-04-22,25,1.048,0.538,49.026
LOT123,W01,-8,6,1,10,2026-04-22,25,0.91,0.545,70.267
LOT123,W01,-7,-6,4,45,2026-04-22,25,1.082,0.519,45.86
LOT123,W01,-7,-5,1,10,2026-04-22,25,1.02,0.52,37.487
LOT123,W01,-7,-4,1,10,2026-04-22,25,1.189,0.499,42.75
LOT123,W01,-7,-3,1,10,2026-04-22,25,1.079,0.517,29.315
LOT123,W01,-7,-2,1,10,2026-04-22,25,1.189,0.49,26.891
LOT123,W01,-7,-1,1,10,2026-04-22,25,1.256,0.499,24.764
LOT123,W01,-7,0,4,45,2026-04-22,25,1.212,0.506,24.447
LOT123,W01,-7,1,1,10,2026-04-22,25,1.269,0.505,24.59
LOT123,W01,-7,2,1,10,2026-04-22,25,1.12,0.5,29.749
LOT123,W01,-7,3,1,10,2026-04-22,25,1.115,0.5,30.295
LOT123,W01,-7,4,2,20,2026-04-22,25,1.178,0.517,42.229
LOT123,W01,-7,5,1,10,2026-04-22,25,1.089,0.515,50.19
LOT123,W01,-7,6,2,20,2026-04-22,25,1.063,0.516,50.594
LOT123,W01,-6,-7,2,20,2026-04-22,25,0.945,0.523,57.565
LOT123,W01,-6,-6,1,10,2026-04-22,25,1.012,0.524,44.362
LOT123,W01,-6,-5,1,10,2026-04-22,25,1.033,0.528,37.915
LOT123,W01,-6,-4,1,10,2026-04-22,25,1.193,0.5,28.146
LOT123,W01,-6,-3,4,45,2026-04-22,25,1.126,0.503,22.668
LOT123,W01,-6,-2,1,10,2026-04-22,25,1.184,0.505,22.846
LOT123,W01,-6,-1,1,10,2026-04-22,25,1.31,0.498,26.719
LOT123,W01,-6,0,1,10,2026-04-22,25,1.259,0.487,22.215
LOT123,W01,-6,1,1,10,2026-04-22,25,1.285,0.481,24.85
LOT123,W01,-6,2,1,10,2026-04-22,25,1.272,0.499,27.82
LOT123,W01,-6,3,1,10,2026-04-22,25,1.227,0.495,23.105
LOT123,W01,-6,4,1,10,2026-04-22,25,1.078,0.514,30.09
LOT123,W01,-6,5,1,10,2026-04-22,25,1.105,0.511,33.457
LOT123,W01,-6,6,2,20,2026-04-22,25,0.986,0.519,44.532
LOT123,W01,-6,7,1,10,2026-04-22,25,0.904,0.523,50.327
LOT123,W01,-5,-7,1,10,2026-04-22,25,0.955,0.538,67.209
LOT123,W01,-5,-6,1,10,2026-04-22,25,1.015,0.53,50.13
LOT123,W01,-5,-5,2,20,2026-04-22,25,1.113,0.52,32.851
LOT123,W01,-5,-4,1,10,2026-04-22,25,1.246,0.494,30.905
LOT123,W01,-5,-3,1,10,2026-04-22,25,1.143,0.508,21.982
LOT123,W01,-5,-2,1,10,2026-04-22,25,1.339,0.503,17.302
LOT123,W01,-5,-1,1,10,2026-04-22,25,1.279,0.489,19.833
LOT123,W01,-5,0,1,10,2026-04-22,25,1.324,0.482,15.675
LOT123,W01,-5,1,1,10,2026-04-22,25,1.256,0.488,20.353
LOT123,W01,-5,2,1,10,2026-04-22,25,1.255,0.503,20.503
LOT123,W01,-5,3,1,10,2026-04-22,25,1.204,0.49,22.382
LOT123,W01,-5,4,3,40,2026-04-22,25,1.14,0.496,29.495
LOT123,W01,-5,5,1,10,2026-04-22,25,1.064,0.507,37.414
LOT123,W01,-5,6,1,10,2026-04-22,25,1.07,0.51,51.64
LOT123,W01,-5,7,1,10,2026-04-22,25,1.088,0.521,65.973
LOT123,W01,-4,-7,1,10,2026-04-22,25,1.045,0.514,59.414
LOT123,W01,-4,-6,1,10,2026-04-22,25,1.145,0.507,40.623
LOT123,W01,-4,-5,1,10,2026-04-22,25,1.134,0.517,34.56
LOT123,W01,-4,-4,2,20,2026-04-22,25,1.164,0.489,28.292
LOT123,W01,-4,-3,1,10,2026-04-22,25,1.245,0.5,19.336
LOT123,W01,-4,-2,1,10,2026-04-22,25,1.285,0.481,21.18
LOT123,W01,-4,-1,1,10,2026-04-22,25,1.381,0.475,13.866
LOT123,W01,-4,0,2,20,2026-04-22,25,1.281,0.47,13.4
LOT123,W01,-4,1,1,10,2026-04-22,25,1.278,0.466,18.113
LOT123,W01,-4,2,3,40,2026-04-22,25,1.319,0.484,18.788
LOT123,W01,-4,3,3,40,2026-04-22,25,1.187,0.489,25.058
LOT123,W01,-4,4,4,45,2026-04-22,25,1.261,0.494,26.444
LOT123,W01,-4,5,1,10,2026-04-22,25,1.078,0.502,26.945
LOT123,W01,-4,6,1,10,2026-04-22,25,1.144,0.512,37.407
LOT123,W01,-4,7,1,10,2026-04-22,25,0.972,0.519,60.252
LOT123,W01,-3,-8,1,10,2026-04-22,25,0.964,0.547,55.03
LOT123,W01,-3,-7,2,20,2026-04-22,25,1.075,0.536,53.129
LOT123,W01,-3,-6,1,10,2026-04-22,25,1.11,0.501,33.841
LOT123,W01,-3,-5,1,10,2026-04-22,25,1.249,0.508,30.87
LOT123,W01,-3,-4,2,20,2026-04-22,25,1.167,0.498,21.295
LOT123,W01,-3,-3,2,20,2026-04-22,25,1.264,0.487,16.567
LOT123,W01,-3,-2,1,10,2026-04-22,25,1.261,0.49,14.053
LOT123,W01,-3,-1,1,10,2026-04-22,25,1.39,0.46,14.662
LOT123,W01,-3,0,1,10,2026-04-22,25,1.32,0.479,15.16
LOT123,W01,-3,1,1,10,2026-04-22,25,1.331,0.461,15.813
LOT123,W01,-3,2,1,10,2026-04-22,25,1.381,0.471,16.787
LOT123,W01,-3,3,1,10,2026-04-22,25,1.287,0.495,18.604
LOT123,W01,-3,4,3,40,2026-04-22,25,1.155,0.498,27.193
LOT123,W01,-3,5,1,10,2026-04-22,25,1.151,0.51,32.784
LOT123,W01,-3,6,1,10,2026-04-22,25,1.067,0.521,45.913
LOT123,W01,-3,7,1,10,2026-04-22,25,1.117,0.516,58.064
LOT123,W01,-3,8,4,45,2026-04-22,25,1.001,0.528,54.748
LOT123,W01,-2,-8,2,20,2026-04-22,25,1.015,0.525,63.12
LOT123,W01,-2,-7,1,10,2026-04-22,25,1.044,0.529,55.931
LOT123,W01,-2,-6,2,20,2026-04-22,25,1.046,0.5,30.751
LOT123,W01,-2,-5,2,20,2026-04-22,25,1.181,0.514,26.996
LOT123,W01,-2,-4,1,10,2026-04-22,25,1.253,0.486,23.446
LOT123,W01,-2,-3,1,10,2026-04-22,25,1.315,0.485,19.59
LOT123,W01,-2,-2,1,10,2026-04-22,25,1.436,0.469,16.04
LOT123,W01,-2,-1,1,10,2026-04-22,25,1.352,0.454,10.917
LOT123,W01,-2,0,1,10,2026-04-22,25,1.409,0.461,12.188
LOT123,W01,-2,1,1,10,2026-04-22,25,1.359,0.48,11.368
LOT123,W01,-2,2,1,10,2026-04-22,25,1.266,0.485,15.792
LOT123,W01,-2,3,1,10,2026-04-22,25,1.359,0.473,21.095
LOT123,W01,-2,4,1,10,2026-04-22,25,1.321,0.499,23.744
LOT123,W01,-2,5,1,10,2026-04-22,25,1.163,0.505,27.564
LOT123,W01,-2,6,1,10,2026-04-22,25,1.152,0.518,35.494
LOT123,W01,-2,7,1,10,2026-04-22,25,1.044,0.519,56.967
LOT123,W01,-2,8,3,40,2026-04-22,25,0.973,0.529,72.73
LOT123,W01,-1,-8,1,10,2026-04-22,25,1.005,0.539,59.029
LOT123,W01,-1,-7,2,20,2026-04-22,25,1.051,0.513,47.23
LOT123,W01,-1,-6,1,10,2026-04-22,25,1.056,0.509,41.264
LOT123,W01,-1,-5,1,10,2026-04-22,25,1.191,0.503,29.933
LOT123,W01,-1,-4,1,10,2026-04-22,25,1.163,0.496,20.541
LOT123,W01,-1,-3,1,10,2026-04-22,25,1.319,0.469,19.141
LOT123,W01,-1,-2,3,40,2026-04-22,25,1.283,0.465,12.729
LOT123,W01,-1,-1,1,10,2026-04-22,25,1.403,0.466,9.448
LOT123,W01,-1,0,1,10,2026-04-22,25,1.414,0.454,8.2
LOT123,W01,-1,1,1,10,2026-04-22,25,1.398,0.462,10.789
LOT123,W01,-1,2,1,10,2026-04-22,25,1.389,0.466,14.335
LOT123,W01,-1,3,1,10,2026-04-22,25,1.308,0.479,18.706
LOT123,W01,-1,4,2,20,2026-04-22,25,1.239,0.479,26.643
LOT123,W01,-1,5,1,10,2026-04-22,25,1.111,0.503,23.435
LOT123,W01,-1,6,1,10,2026-04-22,25,1.109,0.518,39.947
LOT123,W01,-1,7,1,10,2026-04-22,25,1.007,0.524,50.339
LOT123,W01,-1,8,1,10,2026-04-22,25,1.062,0.531,54.99
LOT123,W01,0,-8,1,10,2026-04-22,25,1.016,0.526,50.033
LOT123,W01,0,-7,1,10,2026-04-22,25,1.04,0.51,52.363
LOT123,W01,0,-6,1,10,2026-04-22,25,1.098,0.522,38.883
LOT123,W01,0,-5,3,40,2026-04-22,25,1.103,0.491,31.967
LOT123,W01,0,-4,1,10,2026-04-22,25,1.186,0.484,23.672
LOT123,W01,0,-3,1,10,2026-04-22,25,1.369,0.471,19.794
LOT123,W01,0,-2,3,40,2026-04-22,25,1.346,0.466,14.294
LOT123,W01,0,-1,1,10,2026-04-22,25,1.472,0.465,10.074
LOT123,W01,0,0,1,10,2026-04-22,25,1.577,0.455,7.62
LOT123,W01,0,1,1,10,2026-04-22,25,1.501,0.458,11.911
LOT123,W01,0,2,1,10,2026-04-22,25,1.445,0.461,11.576
LOT123,W01,0,3,1,10,2026-04-22,25,1.291,0.476,18.786
LOT123,W01,0,4,1,10,2026-04-22,25,1.284,0.501,17.913
LOT123,W01,0,5,1,10,2026-04-22,25,1.203,0.496,22.58
LOT123,W01,0,6,1,10,2026-04-22,25,1.046,0.524,39.074
LOT123,W01,0,7,1,10,2026-04-22,25,1.052,0.519,44.679
LOT123,W01,0,8,1,10,2026-04-22,25,1.041,0.527,58.2
LOT123,W01,1,-8,1,10,2026-04-22,25,1.053,0.523,70.485
LOT123,W01,1,-7,1,10,2026-04-22,25,1.067,0.515,52.759
LOT123,W01,1,-6,1,10,2026-04-22,25,1.181,0.515,42.114
LOT123,W01,1,-5,1,10,2026-04-22,25,1.178,0.5,27.822
LOT123,W01,1,-4,1,10,2026-04-22,25,1.277,0.488,19.191
LOT123,W01,1,-3,1,10,2026-04-22,25,1.31,0.49,19.732
LOT123,W01,1,-2,1,10,2026-04-22,25,1.375,0.462,10.927
LOT123,W01,1,-1,1,10,2026-04-22,25,1.493,0.461,10.392
LOT123,W01,1,0,1,10,2026-04-22,25,1.468,0.47,8.595
LOT123,W01,1,1,1,10,2026-04-22,25,1.389,0.449,12.532
LOT123,W01,1,2,1,10,2026-04-22,25,1.367,0.484,12.445
LOT123,W01,1,3,1,10,2026-04-22,25,1.258,0.481,18.774
LOT123,W01,1,4,3,40,2026-04-22,25,1.278,0.498,22.104
LOT123,W01,1,5,1,10,2026-04-22,25,1.188,0.505,24.611
LOT123,W01,1,6,1,10,2026-04-22,25,1.034,0.51,42.606
LOT123,W01,1,7,1,10,2026-04-22,25,1.028,0.533,48.998
LOT123,W01,1,8,1,10,2026-04-22,25,1.05,0.524,59.998
LOT123,W01,2,-8,2,20,2026-04-22,25,1.002,0.541,65.75
LOT123,W01,2,-7,1,10,2026-04-22,25,1.136,0.528,52.324
LOT123,W01,2,-6,4,45,2026-04-22,25,1.12,0.512,40.53
LOT123,W01,2,-5,3,40,2026-04-22,25,1.137,0.515,34.127
LOT123,W01,2,-4,2,20,2026-04-22,25,1.146,0.487,24.858
LOT123,W01,2,-3,2,20,2026-04-22,25,1.338,0.485,15.684
LOT123,W01,2,-2,1,10,2026-04-22,25,1.347,0.475,17.023
LOT123,W01,2,-1,1,10,2026-04-22,25,1.464,0.473,11.483
LOT123,W01,2,0,1,10,2026-04-22,25,1.336,0.452,13.43
LOT123,W01,2,1,1,10,2026-04-22,25,1.395,0.471,12.142
LOT123,W01,2,2,1,10,2026-04-22,25,1.385,0.473,15.458
LOT123,W01,2,3,1,10,2026-04-22,25,1.364,0.486,19.553
LOT123,W01,2,4,1,10,2026-04-22,25,1.222,0.494,19.544
LOT123,W01,2,5,1,10,2026-04-22,25,1.199,0.511,34.25
LOT123,W01,2,6,1,10,2026-04-22,25,1.144,0.523,40.679
LOT123,W01,2,7,1,10,2026-04-22,25,1.063,0.512,57.154
LOT123,W01,2,8,1,10,2026-04-22,25,0.949,0.521,67.03
LOT123,W01,3,-8,1,10,2026-04-22,25,0.915,0.548,67.929
LOT123,W01,3,-7,2,20,2026-04-22,25,1.016,0.514,59.36
LOT123,W01,3,-6,1,10,2026-04-22,25,1.137,0.519,40.979
LOT123,W01,3,-5,1,10,2026-04-22,25,1.154,0.491,30.392
LOT123,W01,3,-4,1,10,2026-04-22,25,1.157,0.507,20.885
LOT123,W01,3,-3,2,20,2026-04-22,25,1.23,0.477,16.39
LOT123,W01,3,-2,1,10,2026-04-22,25,1.319,0.471,18.709
LOT123,W01,3,-1,1,10,2026-04-22,25,1.344,0.474,12.861
LOT123,W01,3,0,3,40,2026-04-22,25,1.333,0.462,11.696
LOT123,W01,3,1,1,10,2026-04-22,25,1.296,0.479,11.676
LOT123,W01,3,2,1,10,2026-04-22,25,1.296,0.481,19.073
LOT123,W01,3,3,1,10,2026-04-22,25,1.27,0.487,19.338
LOT123,W01,3,4,1,10,2026-04-22,25,1.144,0.5,23.719
LOT123,W01,3,5,3,40,2026-04-22,25,1.128,0.504,35.437
LOT123,W01,3,6,1,10,2026-04-22,25,1.082,0.508,45.109
LOT123,W01,3,7,2,20,2026-04-22,25,1.021,0.537,54.456
LOT123,W01,3,8,4,45,2026-04-22,25,0.987,0.542,56.762
LOT123,W01,4,-7,1,10,2026-04-22,25,1.11,0.526,62.002
LOT123,W01,4,-6,1,10,2026-04-22,25,1.055,0.507,40.133
LOT123,W01,4,-5,1,10,2026-04-22,25,1.172,0.516,38.757
LOT123,W01,4,-4,1,10,2026-04-22,25,1.262,0.49,29.019
LOT123,W01,4,-3,1,10,2026-04-22,25,1.248,0.499,20.058
LOT123,W01,4,-2,1,10,2026-04-22,25,1.341,0.491,16.839
LOT123,W01,4,-1,1,10,2026-04-22,25,1.233,0.465,14.685
LOT123,W01,4,0,1,10,2026-04-22,25,1.303,0.478,13.215
LOT123,W01,4,1,2,20,2026-04-22,25,1.288,0.481,13.355
LOT123,W01,4,2,1,10,2026-04-22,25,1.36,0.486,19.601
LOT123,W01,4,3,1,10,2026-04-22,25,1.264,0.501,21.199
LOT123,W01,4,4,1,10,2026-04-22,25,1.271,0.505,27.551
LOT123,W01,4,5,1,10,2026-04-22,25,1.198,0.512,29.551
LOT123,W01,4,6,1,10,2026-04-22,25,1.152,0.516,38.236
LOT123,W01,4,7,2,20,2026-04-22,25,1.079,0.538,59.672
LOT123,W01,5,-7,1,10,2026-04-22,25,1.001,0.515,61.195
LOT123,W01,5,-6,4,45,2026-04-22,25,1.018,0.522,43.687
LOT123,W01,5,-5,2,20,2026-04-22,25,1.167,0.525,43.609
LOT123,W01,5,-4,1,10,2026-04-22,25,1.248,0.502,33.475
LOT123,W01,5,-3,1,10,2026-04-22,25,1.176,0.484,27.828
LOT123,W01,5,-2,1,10,2026-04-22,25,1.178,0.485,19.571
LOT123,W01,5,-1,1,10,2026-04-22,25,1.326,0.48,19.471
LOT123,W01,5,0,1,10,2026-04-22,25,1.214,0.479,15.601
LOT123,W01,5,1,1,10,2026-04-22,25,1.362,0.476,20.014
LOT123,W01,5,2,1,10,2026-04-22,25,1.291,0.492,24.839
LOT123,W01,5,3,1,10,2026-04-22,25,1.206,0.489,24.865
LOT123,W01,5,4,1,10,2026-04-22,25,1.143,0.499,29.984
LOT123,W01,5,5,4,45,2026-04-22,25,1.209,0.501,31.158
LOT123,W01,5,6,4,45,2026-04-22,25,1.155,0.511,49.078
LOT123,W01,5,7,1,10,2026-04-22,25,1.069,0.517,51.168
LOT123,W01,6,-7,1,10,2026-04-22,25,0.995,0.537,58.0
LOT123,W01,6,-6,1,10,2026-04-22,25,1.095,0.526,52.61
LOT123,W01,6,-5,1,10,2026-04-22,25,1.131,0.528,36.681
LOT123,W01,6,-4,4,45,2026-04-22,25,1.121,0.52,39.406
LOT123,W01,6,-3,1,10,2026-04-22,25,1.205,0.514,30.309
LOT123,W01,6,-2,3,40,2026-04-22,25,1.259,0.488,21.226
LOT123,W01,6,-1,3,40,2026-04-22,25,1.263,0.49,26.505
LOT123,W01,6,0,1,10,2026-04-22,25,1.251,0.487,17.887
LOT123,W01,6,1,4,45,2026-04-22,25,1.192,0.48,25.101
LOT123,W01,6,2,1,10,2026-04-22,25,1.206,0.502,27.208
LOT123,W01,6,3,1,10,2026-04-22,25,1.181,0.51,30.861
LOT123,W01,6,4,3,40,2026-04-22,25,1.124,0.508,38.149
LOT123,W01,6,5,1,10,2026-04-22,25,1.02,0.502,45.63
LOT123,W01,6,6,1,10,2026-04-22,25,1.014,0.525,44.937
LOT123,W01,6,7,3,40,2026-04-22,25,0.987,0.527,62.375
LOT123,W01,7,-6,1,10,2026-04-22,25,0.969,0.528,52.695
LOT123,W01,7,-5,4,45,2026-04-22,25,0.979,0.525,38.669
LOT123,W01,7,-4,1,10,2026-04-22,25,1.183,0.508,43.912
LOT123,W01,7,-3,1,10,2026-04-22,25,1.165,0.513,30.59
LOT123,W01,7,-2,1,10,2026-04-22,25,1.265,0.508,24.412
LOT123,W01,7,-1,2,20,2026-04-22,25,1.139,0.496,22.097
LOT123,W01,7,0,1,10,2026-04-22,25,1.142,0.511,25.526
LOT123,W01,7,1,3,40,2026-04-22,25,1.21,0.499,27.881
LOT123,W01,7,2,1,10,2026-04-22,25,1.142,0.512,31.77
LOT123,W01,7,3,1,10,2026-04-22,25,1.159,0.5,31.059
LOT123,W01,7,4,1,10,2026-04-22,25,1.16,0.518,35.724
LOT123,W01,7,5,1,10,2026-04-22,25,1.047,0.517,41.902
LOT123,W01,7,6,1,10,2026-04-22,25,1.105,0.535,57.787
LOT123,W01,8,-6,1,10,2026-04-22,25,1.003,0.521,57.945
LOT123,W01,8,-5,2,20,2026-04-22,25,1.05,0.525,45.595
LOT123,W01,8,-4,1,10,2026-04-22,25,1.089,0.515,41.742
LOT123,W01,8,-3,1,10,2026-04-22,25,1.056,0.519,35.715
LOT123,W01,8,-2,1,10,2026-04-22,25,1.072,0.51,36.486
LOT123,W01,8,-1,1,10,2026-04-22,25,1.092,0.493,37.194
LOT123,W01,8,0,1,10,2026-04-22,25,1.237,0.496,35.58
LOT123,W01,8,1,1,10,2026-04-22,25,1.14,0.512,31.166
LOT123,W01,8,2,1,10,2026-04-22,25,1.224,0.494,35.684
LOT123,W01,8,3,1,10,2026-04-22,25,1.132,0.501,41.306
LOT123,W01,8,4,2,20,2026-04-22,25,1.071,0.505,46.645
LOT123,W01,8,5,1,10,2026-04-22,25,0.997,0.523,41.612
LOT123,W01,8,6,2,20,2026-04-22,25,1.033,0.539,65.442
LOT123,W01,9,-5,2,20,2026-04-22,25,0.943,0.537,60.586
LOT123,W01,9,-4,1,10,2026-04-22,25,1.077,0.514,41.503
LOT123,W01,9,-3,1,10,2026-04-22,25,1.103,0.518,37.926
LOT123,W01,9,-2,1,10,2026-04-22,25,1.103,0.502,45.234
LOT123,W01,9,-1,1,10,2026-04-22,25,1.144,0.507,41.222
LOT123,W01,9,0,1,10,2026-04-22,25,1.18,0.506,35.725
LOT123,W01,9,1,3,40,2026-04-22,25,1.037,0.509,39.956
LOT123,W01,9,2,1,10,2026-04-22,25,1.161,0.514,38.95
LOT123,W01,9,3,2,20,2026-04-22,25,1.089,0.518,36.273
LOT123,W01,9,4,1,10,2026-04-22,25,1.044,0.528,47.015
LOT123,W01,9,5,2,20,2026-04-22,25,1.088,0.517,48.144
LOT123,W01,10,-5,3,40,2026-04-22,25,1.061,0.544,53.144
LOT123,W01,10,-4,1,10,2026-04-22,25,0.993,0.533,52.705
LOT123,W01,10,-3,1,10,2026-04-22,25,0.993,0.534,43.194
LOT123,W01,10,-2,1,10,2026-04-22,25,1.134,0.523,42.393
LOT123,W01,10,-1,2,20,2026-04-22,25,1.129,0.527,37.628
LOT123,W01,10,0,4,45,2026-04-22,25,1.05,0.524,44.219
LOT123,W01,10,1,4,45,2026-04-22,25,1.117,0.507,51.693
LOT123,W01,10,2,1,10,2026-04-22,25,0.98,0.523,39.752
LOT123,W01,10,3,1,10,2026-04-22,25,0.994,0.515,44.712
LOT123,W01,10,4,1,10,2026-04-22,25,1.089,0.523,54.928
LOT123,W01,10,5,1,10,2026-04-22,25,0.982,0.54,75.22
LOT123,W01,11,-3,1,10,2026-04-22,25,0.913,0.526,51.863
LOT123,W01,11,-2,2,20,2026-04-22,25,0.993,0.514,51.019
LOT123,W01,11,-1,1,10,2026-04-22,25,1.023,0.525,46.582
LOT123,W01,11,0,1,10,2026-04-22,25,1.037,0.532,42.234
LOT123,W01,11,1,1,10,2026-04-22,25,0.977,0.523,61.376
LOT123,W01,11,2,1,10,2026-04-22,25,1.073,0.541,48.313
LOT123,W01,11,3,1,10,2026-04-22,25,1.088,0.539,50.909
LOT123,W01,12,-2,1,10,2026-04-22,25,0.901,0.532,58.173
LOT123,W01,12,-1,1,10,2026-04-22,25,1.02,0.52,56.782
LOT123,W01,12,0,1,10,2026-04-22,25,1.016,0.532,63.01
LOT123,W01,12,1,1,10,2026-04-22,25,0.939,0.529,69.452
LOT123,W01,12,2,1,10,2026-04-22,25,1.042,0.522,74.151
LOT123,W02,-12,-2,2,20,2026-04-22,25,1.038,0.54,76.222
LOT123,W02,-12,-1,1,10,2026-04-22,25,0.99,0.544,54.846
LOT123,W02,-12,0,1,10,2026-04-22,25,0.962,0.522,51.472
LOT123,W02,-12,1,1,10,2026-04-22,25,0.981,0.534,67.85
LOT123,W02,-12,2,1,10,2026-04-22,25,0.913,0.548,74.885
LOT123,W02,-11,-3,1,10,2026-04-22,25,1.011,0.525,51.661
LOT123,W02,-11,-2,1,10,2026-04-22,25,1.002,0.536,44.047
LOT123,W02,-11,-1,1,10,2026-04-22,25,1.091,0.525,59.707
LOT123,W02,-11,0,1,10,2026-04-22,25,1.07,0.519,42.954
LOT123,W02,-11,1,1,10,2026-04-22,25,0.956,0.537,48.455
LOT123,W02,-11,2,3,40,2026-04-22,25,0.975,0.539,64.909
LOT123,W02,-11,3,1,10,2026-04-22,25,1.043,0.527,63.77
LOT123,W02,-10,-5,1,10,2026-04-22,25,1.034,0.548,77.277
LOT123,W02,-10,-4,1,10,2026-04-22,25,0.986,0.532,47.754
LOT123,W02,-10,-3,2,20,2026-04-22,25,1.02,0.519,52.667
LOT123,W02,-10,-2,2,20,2026-04-22,25,1.148,0.512,39.518
LOT123,W02,-10,-1,3,40,2026-04-22,25,1.032,0.515,52.117
LOT123,W02,-10,0,1,10,2026-04-22,25,1.129,0.529,47.733
LOT123,W02,-10,1,2,20,2026-04-22,25,1.002,0.52,48.302
LOT123,W02,-10,2,1,10,2026-04-22,25,1.056,0.514,44.435
LOT123,W02,-10,3,1,10,2026-04-22,25,1.085,0.528,54.33
LOT123,W02,-10,4,1,10,2026-04-22,25,0.949,0.518,65.524
LOT123,W02,-10,5,1,10,2026-04-22,25,1.018,0.541,76.667
LOT123,W02,-9,-5,1,10,2026-04-22,25,0.963,0.539,52.573
LOT123,W02,-9,-4,1,10,2026-04-22,25,1.105,0.537,58.126
LOT123,W02,-9,-3,1,10,2026-04-22,25,0.995,0.518,36.222
LOT123,W02,-9,-2,1,10,2026-04-22,25,1.137,0.528,44.359
LOT123,W02,-9,-1,4,45,2026-04-22,25,1.175,0.504,33.595
LOT123,W02,-9,0,1,10,2026-04-22,25,1.115,0.517,36.352
LOT123,W02,-9,1,1,10,2026-04-22,25,1.147,0.516,40.0
LOT123,W02,-9,2,1,10,2026-04-22,25,1.06,0.502,46.822
LOT123,W02,-9,3,1,10,2026-04-22,25,1.122,0.527,38.105
LOT123,W02,-9,4,1,10,2026-04-22,25,1.006,0.513,47.662
LOT123,W02,-9,5,1,10,2026-04-22,25,1.068,0.539,49.589
LOT123,W02,-8,-6,2,20,2026-04-22,25,0.982,0.541,56.302
LOT123,W02,-8,-5,1,10,2026-04-22,25,1.118,0.513,48.588
LOT123,W02,-8,-4,1,10,2026-04-22,25,1.018,0.518,38.794
